n;Lista wiązana;Tablica dynamiczna
0;210;180
1;20;20
2;20;20
3;21;20
4;20;20
5;30;20
6;20;20
7;20;30
8;30;20
9;30;20
10;30;20
11;20;20
12;31;30
13;20;30
14;30;20
15;30;20
16;40;20
17;30;20
18;31;20
19;30;20
20;30;20
21;30;20
22;40;20
23;30;20
24;40;21
25;30;20
26;40;20
27;40;20
28;40;20
29;40;30
30;40;30
31;40;20
32;40;30
33;40;20
34;50;31
35;40;20
36;40;20
37;41;20
38;50;20
39;40;20
40;50;20
41;40;20
42;50;30
43;40;30
44;51;20
45;40;30
46;50;30
47;40;20
48;41;20
49;40;20
50;50;30
51;50;20
52;51;20
53;40;30
54;50;20
55;40;20
56;51;20
57;40;20
58;60;20
59;40;20
60;60;20
61;50;20
62;50;20
63;50;20
64;50;20
65;60;20
66;50;20
67;50;30
68;60;20
69;51;20
70;60;21
71;50;20
72;60;20
73;50;20
74;60;20
75;51;30
76;60;30
77;60;30
78;60;20
79;60;30
80;60;20
81;61;20
82;60;31
83;60;20
84;70;20
85;60;20
86;60;30
87;60;20
88;60;20
89;71;20
90;70;31
91;70;20
92;70;20
93;60;20
94;70;20
95;70;20
96;70;20
97;70;20
98;70;20
99;70;20
100;70;20
101;81;20
102;81;20
103;81;20
104;71;30
105;80;20
106;70;31
107;80;21
108;70;20
109;90;20
110;70;20
111;90;20
112;80;30
113;100;20
114;100;20
115;100;21
116;80;21
117;100;20
118;80;20
119;90;20
120;91;20
121;101;20
122;101;30
123;101;20
124;90;30
125;100;20
126;100;20
127;100;20
128;100;30
129;110;20
130;110;30
131;110;20
132;100;20
133;111;20
134;111;20
135;111;20
136;100;30
137;110;20
138;110;30
139;110;30
140;110;30
141;110;20
142;110;20
143;121;20
144;121;20
145;120;20
146;110;20
147;120;20
148;120;20
149;120;20
150;120;31
151;121;20
152;121;30
153;120;20
154;110;20
155;121;30
156;120;20
157;130;20
158;130;20
159;120;21
160;131;20
161;130;20
162;140;20
163;140;20
164;130;20
165;141;20
166;140;20
167;140;20
168;130;20
169;141;20
170;141;20
171;140;30
172;140;30
173;140;20
174;151;20
175;150;20
176;140;20
177;150;20
178;141;30
179;150;30
180;160;20
181;151;30
182;150;30
183;160;20
184;150;30
185;151;20
186;160;30
187;160;20
188;161;20
189;160;30
190;170;20
191;161;30
192;170;30
193;160;20
194;171;20
195;160;30
196;180;20
197;181;20
198;180;30
199;181;20
200;180;20
201;180;30
