n;Lista wiązana;Tablica dynamiczna
0;170;161
1;20;30
2;40;20
3;30;30
4;40;30
5;30;20
6;30;30
7;30;30
8;30;30
9;20;30
10;40;30
11;30;30
12;40;30
13;20;30
14;30;30
15;30;30
16;30;30
17;40;20
18;30;30
19;30;20
20;50;41
21;40;30
22;40;40
23;30;30
24;51;40
25;40;40
26;51;50
27;50;30
28;40;40
29;50;40
30;50;40
31;40;40
32;41;40
33;40;40
34;50;50
35;50;40
36;50;50
37;60;40
38;40;60
39;40;60
40;50;50
41;50;40
42;50;50
43;50;60
44;50;60
45;50;40
46;50;50
47;50;50
48;60;70
49;60;60
50;60;60
51;60;60
52;61;70
53;61;60
54;71;70
55;50;60
56;60;70
57;60;70
58;60;70
59;50;60
60;60;71
61;60;61
62;70;81
63;61;70
64;60;70
65;60;60
66;70;70
67;60;70
68;71;70
69;60;70
70;70;80
71;70;70
72;80;80
73;60;70
74;70;81
75;71;70
76;80;80
77;60;80
78;80;80
79;60;70
80;80;81
81;71;70
82;70;80
83;70;80
84;80;90
85;70;81
86;81;90
87;70;90
88;80;80
89;70;91
90;81;90
91;70;80
92;90;80
93;70;91
94;81;100
95;80;90
96;80;100
97;81;90
98;80;80
99;70;90
100;81;100
101;81;90
102;80;100
103;80;90
104;91;90
105;80;100
106;80;101
107;90;90
108;80;100
109;90;90
110;80;110
111;80;101
112;80;90
113;90;100
114;91;100
115;100;100
116;90;101
117;90;100
118;90;101
119;80;100
120;90;100
121;100;100
122;90;110
123;90;110
124;90;100
125;100;100
126;90;100
127;100;110
128;90;110
129;91;110
130;100;111
131;90;110
132;90;111
133;100;110
134;110;110
135;90;110
136;91;110
137;90;110
138;100;110
139;100;121
140;100;110
141;101;110
142;100;121
143;110;110
144;90;110
145;100;120
146;100;120
147;101;120
148;100;121
149;100;120
150;121;120
151;100;121
152;100;120
153;101;120
154;100;121
155;110;130
156;120;120
157;111;120
158;100;121
159;100;120
160;111;130
161;100;120
162;110;130
163;110;120
164;110;130
165;111;130
166;110;131
167;110;130
168;110;130
169;121;130
170;110;130
171;120;131
172;110;130
173;120;130
174;120;140
175;121;140
176;120;140
177;110;141
178;110;140
179;110;130
180;110;140
181;120;140
182;121;140
183;121;140
184;121;140
185;120;141
186;120;141
187;120;141
188;120;141
189;120;141
190;120;150
191;120;140
192;120;150
193;120;140
194;120;140
195;120;150
196;130;150
197;120;150
198;130;150
199;130;150
200;120;150
201;130;150
202;120;150
203;120;160
204;130;150
205;120;151
206;120;151
207;130;161
208;130;161
209;130;151
210;130;150
211;130;151
212;130;161
213;130;161
214;131;160
215;131;160
216;140;160
217;130;160
218;140;160
219;140;161
220;140;161
221;141;170
222;131;160
223;130;170
224;130;160
225;140;171
226;140;170
227;141;170
228;130;160
229;130;160
230;140;171
231;141;160
232;140;170
233;140;170
234;140;171
235;141;180
236;150;170
237;140;171
238;150;171
239;141;170
240;140;180
241;150;181
242;141;170
243;140;180
244;150;181
245;151;180
246;150;180
247;150;181
248;151;180
249;150;180
250;150;181
251;151;180
252;150;191
253;151;180
254;150;190
255;150;191
256;150;181
257;161;180
258;150;191
259;151;180
260;150;191
261;161;190
262;150;190
263;150;190
264;160;190
265;160;190
266;160;190
267;160;191
268;150;190
269;160;191
270;160;190
271;160;200
272;160;190
273;161;190
274;160;200
275;161;200
276;170;201
277;161;200
278;170;201
279;160;200
280;170;200
281;160;200
282;171;200
283;160;201
284;160;200
285;171;200
286;160;201
287;171;210
288;160;200
289;170;211
290;171;210
291;170;201
292;170;211
293;171;200
294;170;211
295;170;211
296;171;210
297;170;210
298;170;211
299;170;210
300;171;210
301;180;211
302;170;211
303;170;220
304;181;210
305;170;221
306;180;221
307;170;210
308;171;210
309;170;220
310;170;211
311;180;221
312;180;220
313;181;220
314;181;220
315;180;221
316;180;221
317;180;231
