n;Lista wiązana;Tablica dynamiczna
3;70;60
4;41;240
5;30;40
6;40;20
7;70;30
8;90;141
9;80;30
10;80;20
11;50;30
12;100;30
13;70;30
14;50;31
15;40;40
16;51;180
17;40;51
18;50;30
19;50;40
20;50;30
21;40;40
22;70;41
23;50;40
24;71;40
25;60;40
26;60;30
27;131;40
28;50;40
29;50;50
30;50;51
31;40;40
32;61;180
33;60;60
34;60;50
35;50;50
36;50;50
37;50;60
38;51;50
39;50;50
40;60;40
41;50;51
42;60;50
43;60;60
44;70;51
45;80;60
46;60;60
47;50;70
48;60;50
49;61;60
50;80;60
51;140;60
52;60;60
53;60;71
54;70;60
55;60;70
56;60;71
57;60;70
58;60;60
59;50;81
60;70;70
61;50;70
62;60;71
63;60;80
64;60;190
65;61;80
66;70;80
67;60;70
68;70;60
69;60;80
70;60;70
71;60;80
72;60;71
73;60;80
74;70;70
75;70;81
76;70;80
77;60;90
78;71;80
79;60;90
80;80;80
81;61;90
82;80;81
83;70;90
84;100;80
85;81;90
86;80;81
87;70;90
88;70;80
89;70;90
90;70;90
91;80;90
92;90;90
93;80;101
94;80;90
95;80;90
96;80;90
97;90;100
98;90;100
99;190;100
100;90;100
101;90;100
102;91;100
103;80;101
104;80;90
105;90;100
106;90;100
107;101;100
108;90;101
109;100;100
110;90;110
111;90;110
112;101;110
113;100;111
114;90;110
115;100;110
116;100;100
117;101;110
118;100;110
119;100;111
120;110;110
121;110;110
122;110;110
123;111;110
124;111;110
125;120;121
126;110;111
127;110;110
128;120;321
129;160;111
130;170;121
131;120;120
132;120;120
133;130;120
134;130;120
135;131;130
136;131;120
137;131;130
138;130;131
139;140;131
140;140;121
141;150;121
142;120;130
143;140;130
144;100;120
145;150;130
146;150;130
147;121;130
148;151;130
149;151;140
150;151;130
151;151;130
152;160;130
153;160;130
154;140;131
155;160;141
156;150;131
157;170;131
158;160;131
159;170;141
160;130;131
161;170;141
162;170;141
163;160;141
164;170;141
165;170;151
166;180;141
167;170;151
168;140;141
169;160;141
170;180;141
171;170;141
172;170;151
173;180;151
174;180;150
175;180;150
176;181;150
177;181;150
178;181;150
179;181;160
180;181;160
181;181;160
182;190;150
183;180;160
184;190;150
185;180;160
186;190;161
187;180;161
188;190;161
189;190;161
190;191;160
191;191;160
192;191;160
193;191;160
194;190;160
195;190;160
196;200;160
197;280;171
198;211;160
199;191;160
200;201;180
201;201;170
202;200;160
203;190;160
204;200;171
205;200;181
206;200;170
207;201;170
208;211;170
209;201;170
210;210;170
211;210;171
212;200;181
213;210;180
214;211;180
215;211;180
216;220;170
217;210;181
218;210;171
219;210;190
220;221;180
221;211;180
222;220;190
223;220;191
224;220;191
225;221;190
226;231;180
227;220;190
228;230;191
229;230;180
230;231;190
231;231;190
232;240;181
233;230;191
234;231;190
235;231;200
236;240;200
237;240;191
238;241;190
239;231;200
240;240;190
241;230;191
242;241;190
243;241;200
244;240;190
245;240;201
246;251;190
247;241;200
248;250;200
249;240;201
250;241;190
251;251;200
252;230;201
253;240;211
254;251;210
255;251;200
256;260;341
257;321;200
258;210;201
259;260;210
260;261;200
261;250;211
262;270;201
263;251;210
264;260;210
265;240;201
266;261;210
267;261;210
268;230;211
269;271;210
270;271;210
271;260;221
272;271;210
273;261;210
274;270;211
275;271;210
276;271;220
277;270;221
278;281;210
279;271;220
280;280;221
281;271;210
282;280;221
283;280;221
284;281;220
285;280;221
286;281;220
287;281;230
288;280;231
289;281;230
290;290;231
291;291;220
292;281;220
293;280;221
294;291;230
295;290;231
296;291;240
297;291;230
298;290;221
299;291;230
300;300;231
301;301;230
302;290;241
303;291;240
304;291;240
305;300;231
306;291;240
307;290;241
308;291;230
309;290;241
310;301;240
311;301;241
312;301;240
313;301;240
314;300;251
315;301;240
316;310;241
317;301;240
318;310;241
319;311;250
320;310;241
321;311;250
322;310;251
323;311;250
324;310;251
325;311;250
326;320;251
327;311;250
328;320;251
329;321;250
330;320;251
331;321;250
332;320;251
333;321;250
334;320;261
335;331;250
336;320;251
337;331;260
338;330;261
339;331;250
340;330;261
341;331;261
342;341;260
343;341;261
344;341;260
345;340;261
346;341;260
347;340;271
348;331;271
349;341;270
350;351;271
351;351;270
352;350;271
353;351;271
354;351;260
355;350;271
356;361;270
357;360;271
358;361;271
359;351;270
360;360;271
361;361;270
362;361;270
363;361;271
364;351;270
365;360;281
366;371;281
367;371;280
368;370;281
369;371;281
370;381;280
371;380;281
372;371;281
373;381;280
374;380;281
375;381;281
376;391;280
377;390;280
378;381;291
379;391;290
380;391;290
381;390;291
382;391;291
383;391;290
384;390;291
385;401;291
386;401;290
387;401;290
388;400;291
389;391;301
390;401;290
391;391;300
392;380;301
393;401;291
394;411;290
395;400;300
396;371;301
397;411;301
398;411;300
399;410;300
400;401;311
401;411;301
402;411;310
403;411;310
404;410;311
405;411;311
406;421;301
407;411;310
408;411;300
409;420;301
410;411;301
411;421;311
412;431;310
413;390;320
414;430;311
415;421;311
416;431;321
417;431;321
418;431;320
419;431;310
420;430;321
421;441;321
422;441;321
423;441;321
424;471;321
425;431;320
426;451;310
427;440;310
428;420;321
429;451;321
430;451;311
431;451;321
432;451;321
433;451;320
434;451;330
435;451;330
436;460;330
437;460;331
438;461;331
439;461;331
440;461;321
441;461;331
442;461;331
443;461;331
444;471;341
445;461;341
446;471;330
447;471;340
448;411;330
449;471;340
450;470;340
451;470;330
452;470;341
453;471;351
454;491;341
455;471;341
456;491;341
457;491;351
458;491;341
459;491;341
460;491;341
461;501;341
462;501;341
463;491;351
464;501;341
465;500;350
466;500;350
467;501;340
468;501;350
469;501;350
470;501;350
471;501;350
472;501;350
473;501;360
474;501;351
475;501;361
476;501;351
477;511;351
478;501;361
479;511;351
480;511;351
481;501;351
482;511;351
483;511;361
484;511;361
485;521;360
486;521;360
487;521;360
488;521;361
489;511;371
490;511;371
491;511;371
492;531;371
493;511;371
494;521;371
495;521;370
496;511;370
497;521;370
498;521;371
499;511;371
500;521;371
501;521;371
502;521;371
503;521;381
504;521;380
505;521;370
506;521;381
507;521;381
508;491;381
509;521;381
510;531;371
511;521;381
512;531;851
513;631;381
514;521;391
515;591;391
516;511;381
517;531;400
518;541;380
519;531;391
520;501;381
521;501;381
522;561;391
523;582;390
524;551;391
525;481;391
526;501;401
527;521;401
528;591;391
529;581;400
530;591;391
531;551;401
532;591;390
533;551;401
534;551;391
535;551;401
536;531;391
537;551;400
538;551;401
539;561;401
540;541;401
541;602;400
542;521;411
543;551;401
544;561;401
545;541;410
546;531;410
547;541;411
548;551;411
549;541;411
550;531;400
551;531;421
552;651;411
553;642;410
554;571;421
555;651;421
556;581;421
557;651;411
558;581;410
559;581;411
560;591;411
561;581;421
562;591;421
563;601;421
564;561;421
565;561;421
566;561;421
567;561;421
568;582;420
569;591;421
570;581;421
571;602;430
572;521;421
573;601;421
574;602;430
575;611;431
576;601;421
577;601;441
578;621;441
579;672;431
580;601;431
581;611;430
582;611;431
583;601;431
584;602;431
585;601;431
586;611;441
587;621;441
588;611;441
589;651;441
590;611;441
591;612;440
592;621;441
593;651;450
594;661;441
595;672;440
596;671;441
597;672;440
598;671;441
599;672;441
600;671;451
601;642;441
602;641;451
603;642;441
604;681;451
605;632;451
606;641;451
607;632;441
608;641;451
609;632;440
610;631;451
611;632;450
612;641;451
613;642;450
614;641;451
615;652;450
616;661;451
617;632;450
618;641;451
619;652;461
620;661;461
621;652;461
622;661;461
623;651;471
624;661;461
625;651;461
626;661;461
627;661;461
628;662;470
629;661;471
630;672;461
631;661;471
632;671;471
633;651;471
634;671;471
635;742;461
636;671;471
637;661;471
638;752;470
639;631;471
640;702;471
641;671;471
642;671;471
643;631;471
644;641;481
645;662;471
646;711;471
647;681;481
648;681;480
649;731;491
650;671;481
651;681;470
652;691;471
653;742;491
654;742;491
655;751;481
656;751;481
657;752;481
658;752;491
659;711;491
660;691;491
661;802;491
662;802;491
663;802;491
664;791;480
665;761;491
666;681;481
667;692;491
668;751;491
669;691;491
670;692;501
671;691;491
672;701;501
673;692;501
674;691;501
675;691;501
676;702;491
677;691;501
678;691;501
679;701;501
680;702;501
681;701;501
682;701;491
683;702;501
684;762;521
685;701;511
686;701;501
687;702;501
688;701;511
689;701;511
690;721;511
691;722;501
692;711;511
693;711;511
694;711;511
695;722;501
696;721;511
697;721;511
698;731;521
699;732;511
700;721;510
701;731;511
702;731;521
703;742;511
704;772;521
705;742;521
706;741;521
707;731;4459
708;792;601
709;621;561
710;671;531
711;571;531
712;571;541
713;561;531
714;561;551
715;561;531
716;581;541
717;571;551
718;621;561
719;652;571
720;632;571
721;641;581
722;692;601
723;611;552
724;611;551
725;581;551
726;622;541
727;661;551
728;591;551
729;601;541
730;612;561
731;601;562
732;621;601
733;601;551
734;611;551
735;642;551
736;601;552
737;611;591
738;661;551
739;631;561
740;671;571
741;641;581
742;592;551
743;581;561
744;621;561
745;611;621
746;601;561
747;601;582
748;601;581
749;601;571
750;641;561
751;642;561
752;621;572
753;641;561
754;591;571
755;651;581
756;612;581
757;601;591
758;671;571
759;681;632
760;702;581
761;641;561
762;631;591
763;671;642
764;631;621
765;691;612
766;681;612
767;701;591
768;652;591
769;611;642
770;942;851
771;611;621
772;671;612
773;691;632
774;701;591
775;712;601
776;712;631
777;681;631
778;691;611
779;671;581
780;761;581
781;1012;591
782;912;581
783;892;581
784;911;581
785;912;591
786;962;581
787;932;571
788;871;592
789;862;591
790;932;581
791;902;581
792;911;581
793;942;581
794;942;591
795;852;581
796;891;592
797;962;601
798;1002;591
799;972;591
800;952;591
801;962;591
802;891;591
803;902;601
804;942;601
805;901;602
806;932;601
807;952;601
808;981;602
809;912;601
810;982;601
811;1002;601
812;962;601
