n;Lista wiązana;Tablica dynamiczna
0;1292;741
1;40;301
2;20;30
3;20;20
4;30;491
5;20;20
6;20;20
7;110;20
8;80;100
9;40;30
10;60;20
11;100;20
12;50;20
13;30;20
14;40;20
15;31;20
16;30;181
17;40;30
18;30;20
19;40;20
20;30;20
21;40;30
22;30;20
23;31;30
24;40;20
25;30;30
26;40;20
27;50;20
28;50;20
29;60;30
30;91;20
31;30;20
32;30;270
33;40;20
34;30;20
35;30;30
36;30;20
37;30;30
38;40;21
39;30;20
40;40;20
41;30;20
42;40;20
43;30;20
44;30;30
45;30;20
46;30;30
47;40;20
48;30;20
49;40;20
50;30;20
51;30;20
52;50;30
53;130;20
54;40;20
55;30;30
56;40;21
57;30;20
58;40;30
59;30;20
60;30;30
61;40;20
62;30;20
63;40;20
64;30;280
65;40;20
66;30;20
67;40;20
68;40;30
69;30;20
70;30;30
71;40;20
72;30;30
73;40;20
74;30;21
75;40;30
76;30;20
77;30;30
78;40;20
79;30;30
80;40;20
81;30;20
82;40;20
83;30;20
84;40;30
85;30;20
86;30;30
87;40;20
88;30;20
89;41;20
90;30;20
91;30;20
92;30;20
93;30;30
94;30;20
95;30;30
96;40;20
97;30;20
98;40;20
99;50;20
100;91;30
101;40;20
102;40;20
103;40;30
104;40;30
105;30;21
106;30;20
107;41;20
108;30;20
109;40;20
110;30;20
111;30;30
112;40;20
113;30;20
114;40;20
115;30;20
116;40;31
117;30;20
118;30;30
119;40;20
120;30;30
121;40;20
122;30;20
123;40;20
124;30;20
125;40;30
126;30;20
127;30;30
128;40;541
129;61;20
130;70;30
131;40;20
132;40;30
133;30;20
134;30;30
135;30;20
136;30;31
137;40;20
138;30;30
139;40;20
140;30;20
141;40;20
142;30;20
143;40;20
144;30;20
145;40;20
146;30;20
147;30;30
148;30;20
149;30;30
150;40;20
151;31;30
152;40;20
153;30;20
154;40;20
155;30;20
156;40;20
157;30;20
158;40;30
159;30;20
160;30;31
161;30;20
162;31;30
163;40;20
164;30;30
165;30;20
166;30;30
167;40;20
168;30;30
169;40;20
170;30;31
171;40;20
172;30;20
173;40;20
174;30;20
175;40;20
176;30;20
177;40;30
178;30;20
179;30;30
180;30;20
181;30;30
182;40;20
183;30;30
184;40;20
185;31;20
186;40;20
187;30;20
188;40;20
189;30;20
190;30;30
191;30;20
192;30;30
193;40;20
194;30;31
195;40;20
196;31;30
197;40;20
198;30;20
199;40;20
200;60;30
201;30;20
202;30;30
203;30;20
204;30;30
205;40;20
206;30;20
207;41;20
208;30;20
209;40;20
210;30;20
211;40;20
212;30;20
213;30;30
214;30;20
215;30;30
216;60;30
217;40;20
218;31;20
219;40;20
220;30;20
221;40;20
222;30;20
223;40;30
224;30;20
225;30;30
226;30;20
227;40;20
228;40;20
229;41;30
230;40;30
231;30;20
232;30;30
233;40;20
234;30;30
235;40;20
236;30;20
237;40;20
238;30;20
239;40;30
240;41;20
241;30;30
242;40;20
243;30;20
244;40;20
245;30;20
246;40;30
247;30;20
248;30;30
249;40;21
250;30;30
251;41;20
252;30;20
253;40;20
254;30;20
255;30;30
256;40;351
257;70;20
258;40;20
259;110;30
260;40;20
261;40;20
262;40;20
263;40;20
264;30;20
265;30;30
266;40;20
267;30;20
268;40;20
269;30;20
270;40;20
271;30;20
272;30;30
273;30;20
274;30;30
275;30;20
276;30;30
277;41;20
278;30;30
279;40;20
280;30;20
281;40;20
282;30;20
283;40;20
284;30;20
285;30;30
286;30;21
287;30;30
288;41;20
289;30;30
290;40;20
291;30;20
292;40;20
293;30;20
294;40;20
295;30;20
296;30;30
297;30;21
298;30;30
299;40;20
300;30;20
301;30;30
302;40;20
303;30;20
304;40;20
305;30;20
306;30;20
307;30;20
308;30;30
309;30;20
310;30;30
311;40;20
312;31;30
313;40;20
314;30;20
315;40;20
316;30;20
317;40;20
318;30;20
319;30;30
320;30;20
321;30;31
322;30;20
323;31;30
324;40;20
325;30;20
326;40;20
327;30;20
328;40;20
329;50;20
330;30;30
331;40;20
332;30;31
333;40;20
334;31;20
335;40;20
336;30;20
337;40;30
338;30;20
339;30;30
340;30;20
341;30;30
342;30;20
343;30;31
344;40;20
345;30;30
346;40;20
347;30;20
348;40;20
349;30;20
350;40;30
351;30;30
352;40;30
353;40;20
354;30;21
355;30;30
356;31;30
357;40;20
358;30;20
359;30;20
360;30;30
361;40;20
362;30;20
363;30;20
364;30;20
365;30;30
366;40;30
367;41;20
368;30;20
369;30;30
370;30;30
371;40;20
372;30;20
373;30;20
374;30;30
375;40;20
376;30;20
377;30;20
378;30;30
379;40;20
380;30;20
381;30;20
382;30;30
383;40;20
384;40;20
385;30;20
386;30;30
387;40;20
388;40;20
389;30;20
390;30;30
391;30;20
392;40;20
393;30;20
394;30;20
395;30;30
396;40;21
397;30;20
398;30;20
399;30;30
400;40;20
401;40;20
402;30;20
403;30;20
404;40;30
405;40;20
406;30;20
407;30;21
408;30;30
409;41;20
410;30;20
411;30;20
412;30;30
413;40;20
414;30;20
415;30;20
416;30;30
417;40;20
418;40;20
419;30;20
420;31;30
421;40;30
422;40;20
423;40;20
424;30;20
425;30;30
426;40;30
427;40;20
428;40;20
429;30;20
430;30;20
431;31;20
432;30;30
433;40;20
434;30;20
435;30;20
436;30;30
437;40;20
438;40;20
439;30;20
440;30;30
441;40;30
442;40;20
443;30;20
444;30;30
445;30;30
446;40;20
447;40;20
448;30;20
449;30;21
450;30;20
451;31;30
452;40;30
453;40;20
454;40;20
455;30;20
456;30;20
457;30;20
458;30;30
459;40;30
460;40;20
461;40;20
462;31;20
463;30;20
464;30;20
465;30;30
466;40;30
467;40;20
468;40;20
469;30;20
470;30;20
471;30;20
472;30;30
473;40;20
474;40;20
475;40;20
476;30;20
477;30;20
478;30;20
479;30;30
480;40;31
481;40;20
482;41;20
483;30;20
484;30;20
485;30;30
486;30;30
487;40;30
488;40;20
489;40;20
490;30;20
491;30;20
492;30;30
493;31;30
494;40;30
495;40;20
496;40;20
497;30;20
498;30;20
499;30;30
500;40;31
501;40;20
502;40;20
503;30;20
504;30;20
505;30;20
506;30;30
507;40;30
508;40;20
509;40;20
510;30;20
511;30;21
512;30;421
513;171;20
514;50;20
515;30;20
516;30;20
517;30;30
518;40;30
519;40;20
520;40;20
521;40;20
522;30;20
523;30;20
524;30;20
525;30;30
526;40;30
527;41;20
528;40;20
529;30;20
530;30;20
531;30;20
532;30;30
533;40;30
534;40;21
535;40;20
536;30;20
537;30;20
538;30;20
539;30;30
540;40;30
541;40;30
542;40;20
543;40;20
544;30;20
545;40;20
546;40;30
547;41;20
548;40;20
549;30;20
550;30;20
551;30;20
552;30;30
553;40;30
554;40;21
555;40;20
556;41;20
557;30;20
558;30;20
559;30;30
560;30;30
561;40;20
562;40;20
563;30;20
564;30;20
565;30;20
566;30;30
567;41;30
568;40;20
569;40;20
570;30;20
571;30;20
572;30;20
573;30;30
574;40;31
575;40;30
576;61;20
577;70;30
578;40;20
579;40;20
580;40;30
581;40;20
582;30;20
583;30;30
584;40;30
585;41;20
586;40;20
587;30;20
588;30;20
589;30;20
590;30;30
591;40;30
592;40;21
593;40;20
594;41;20
595;30;20
596;30;20
597;30;20
598;40;30
599;40;20
600;40;20
601;30;20
602;30;20
603;30;20
604;30;30
605;31;30
606;40;30
607;40;20
608;40;20
609;40;30
610;40;20
611;30;20
612;40;21
613;30;20
614;31;20
615;30;20
616;30;30
617;40;30
618;40;20
619;40;20
620;30;20
621;30;20
622;30;20
623;30;20
624;30;20
625;31;30
626;40;30
627;40;20
628;40;20
629;40;20
630;30;20
631;30;20
632;30;21
633;30;30
634;40;30
635;40;20
636;40;20
637;30;20
638;30;20
639;30;20
640;40;20
641;80;20
642;40;20
643;41;30
644;40;20
645;40;20
646;40;20
647;30;20
648;30;20
649;30;30
650;40;31
651;40;20
652;41;20
653;30;20
654;30;20
655;30;20
656;30;30
657;40;30
658;40;20
659;40;20
660;30;20
661;30;20
662;30;20
663;31;30
664;30;30
665;40;20
666;40;20
667;30;20
668;30;20
669;30;30
670;40;31
671;40;20
672;61;20
673;30;20
674;30;20
675;30;20
676;30;30
677;40;30
678;40;20
679;40;20
680;30;20
681;30;20
682;30;20
683;30;30
684;40;20
685;40;20
686;30;20
687;30;20
688;30;20
689;30;30
690;40;31
691;40;20
692;41;20
693;30;20
694;30;20
695;30;20
696;30;20
697;30;30
698;40;30
699;40;20
700;40;20
701;30;20
702;30;20
703;31;20
704;30;30
705;40;30
706;40;20
707;40;20
708;30;20
709;30;20
710;30;20
711;30;30
712;40;30
713;40;20
714;40;20
715;30;20
716;30;20
717;30;20
718;30;30
719;40;30
720;40;20
721;40;21
722;30;20
723;31;20
724;30;30
725;30;30
726;40;30
727;40;20
728;40;20
729;30;20
730;30;20
731;30;30
732;30;30
733;40;30
734;41;20
735;40;20
736;30;20
737;30;20
738;30;20
739;30;30
740;40;20
741;40;20
742;30;20
743;30;20
744;30;30
745;30;30
746;40;20
747;40;20
748;40;20
749;30;20
750;30;20
751;30;20
752;30;31
753;40;30
754;41;20
755;40;20
756;30;20
757;30;20
758;30;20
759;30;30
760;40;30
761;40;20
762;40;20
763;30;20
764;30;20
765;31;20
766;30;30
767;40;30
768;40;20
769;40;20
770;30;20
771;30;20
772;30;31
773;30;30
774;40;30
775;40;20
776;40;20
777;30;20
778;30;20
779;30;30
780;30;30
781;40;30
782;40;20
783;40;21
784;30;20
785;31;20
786;30;30
787;40;30
788;40;20
789;40;20
790;30;20
791;30;20
792;30;20
793;30;30
794;40;30
795;40;20
796;41;20
797;30;20
798;30;20
799;30;20
800;30;30
801;40;30
802;40;20
803;40;20
804;30;20
805;30;20
806;30;20
807;30;30
808;40;30
809;40;20
810;40;20
811;30;20
812;30;20
813;30;20
814;30;31
815;40;30
816;41;20
817;40;20
818;30;20
819;30;20
820;30;20
821;30;30
822;40;30
823;40;30
824;40;20
825;80;30
826;60;20
827;60;20
828;60;20
829;60;30
830;60;20
831;60;20
832;50;20
833;60;30
834;60;20
835;60;30
836;50;30
837;61;20
838;60;20
839;50;30
840;61;20
841;70;20
842;70;20
843;60;20
844;71;20
845;70;20
846;60;20
847;60;30
848;51;30
849;60;30
850;60;20
851;60;20
852;50;30
853;60;20
854;60;20
855;50;30
856;60;20
857;60;30
858;61;30
859;60;30
860;70;20
861;70;30
862;70;20
863;50;30
864;60;20
865;61;30
866;50;20
867;60;30
868;51;20
869;50;30
870;60;20
871;51;20
872;50;20
873;50;20
874;50;20
875;60;30
876;50;20
877;50;30
878;60;20
879;60;20
880;50;30
881;50;20
882;60;20
883;50;20
884;60;21
885;50;20
886;50;20
887;60;21
888;60;20
889;60;20
890;60;21
891;50;20
892;60;30
893;50;30
894;60;30
895;50;20
896;51;20
897;50;20
898;50;20
899;61;20
900;50;20
901;50;20
902;60;30
903;50;30
904;50;30
905;60;30
906;60;21
907;60;30
908;60;20
909;50;20
910;50;30
911;50;30
912;61;20
913;50;20
914;50;30
915;51;20
916;50;20
917;50;30
918;61;30
919;50;20
920;50;20
921;61;20
922;60;30
923;60;30
924;50;30
925;60;30
926;60;20
927;50;30
928;60;20
929;50;30
930;60;20
931;51;20
932;60;20
933;60;30
934;60;20
935;60;30
936;60;20
937;50;30
938;61;20
939;60;20
940;60;20
941;60;30
942;60;30
943;60;20
944;60;20
945;51;20
946;70;20
947;60;30
948;60;30
949;70;30
950;60;30
951;60;20
952;70;30
953;70;20
954;71;30
955;70;30
956;60;30
957;70;20
958;80;20
959;60;20
960;60;20
961;71;30
962;70;20
963;60;30
964;70;20
965;50;20
966;50;20
967;60;20
968;60;20
969;60;20
970;60;20
971;60;31
972;50;20
973;60;30
974;70;20
975;70;30
976;71;20
977;80;21
978;60;30
979;70;30
980;60;30
981;60;30
982;60;20
983;71;20
984;70;30
985;70;20
986;70;20
987;70;30
988;60;20
989;60;20
990;70;30
991;60;20
992;60;20
993;61;20
994;70;21
995;70;20
996;70;30
997;70;30
998;70;20
999;70;20
1000;70;20
1001;60;31
1002;70;30
1003;70;20
1004;70;30
1005;70;30
1006;70;20
1007;61;20
1008;60;20
1009;80;30
1010;60;20
1011;60;20
1012;60;30
1013;60;20
1014;70;20
1015;70;30
1016;60;20
1017;70;20
1018;61;30
1019;70;30
1020;70;30
1021;70;20
1022;70;20
1023;70;20
1024;70;751
1025;130;20
1026;60;20
1027;61;20
1028;50;20
1029;60;40
1030;60;20
1031;60;20
1032;60;20
1033;50;30
1034;50;30
1035;50;30
1036;60;20
1037;60;20
1038;50;20
1039;60;20
1040;50;20
1041;60;20
1042;60;20
1043;50;20
1044;61;20
1045;50;20
1046;50;30
1047;61;30
1048;50;30
1049;50;20
1050;50;20
1051;60;31
1052;60;30
1053;60;30
1054;61;30
1055;50;30
1056;50;20
1057;50;20
1058;50;20
1059;60;20
1060;50;20
1061;60;31
1062;60;20
1063;50;30
1064;50;20
1065;50;20
1066;60;20
1067;60;20
1068;50;20
1069;60;30
1070;61;20
1071;60;30
1072;60;30
1073;50;30
1074;70;20
1075;50;30
1076;50;20
1077;60;30
1078;60;20
1079;60;20
1080;50;20
1081;50;30
1082;70;30
1083;50;20
1084;60;30
1085;50;30
1086;60;20
1087;60;30
1088;50;21
1089;60;20
1090;60;20
1091;51;20
1092;60;20
1093;50;30
1094;60;30
1095;60;20
1096;60;30
1097;50;30
1098;51;30
1099;60;20
1100;50;30
1101;60;20
1102;60;30
1103;60;20
1104;50;20
1105;51;20
1106;60;20
1107;50;20
1108;70;20
1109;60;31
1110;90;30
1111;60;20
1112;61;20
1113;50;20
1114;60;20
1115;60;20
1116;50;31
1117;60;20
1118;50;20
1119;50;20
1120;50;30
1121;50;30
1122;70;20
1123;60;20
1124;60;30
1125;60;20
1126;50;21
1127;60;20
1128;60;20
1129;61;30
1130;60;30
1131;60;20
1132;60;30
1133;60;30
1134;60;20
1135;50;30
1136;60;21
1137;60;20
1138;60;20
1139;50;30
1140;50;20
1141;60;20
1142;60;20
1143;60;20
1144;60;20
1145;50;20
1146;50;30
1147;50;30
1148;50;20
1149;60;20
1150;50;20
1151;50;20
1152;80;20
1153;100;20
1154;60;20
1155;60;30
1156;60;20
1157;60;30
1158;50;30
1159;50;20
1160;60;30
1161;50;20
1162;60;20
1163;60;20
1164;60;20
1165;60;20
1166;60;20
1167;60;20
1168;60;20
1169;140;20
1170;40;20
1171;30;30
1172;31;20
1173;40;20
1174;30;30
1175;30;20
1176;40;20
1177;40;30
1178;30;20
1179;40;20
1180;40;30
1181;30;20
1182;40;20
1183;40;30
1184;30;20
1185;31;20
1186;40;20
1187;30;30
1188;30;20
1189;40;20
1190;30;30
1191;30;20
1192;40;20
1193;40;30
1194;30;20
1195;40;20
1196;40;30
1197;30;20
1198;41;20
1199;40;20
1200;30;20
1201;30;20
1202;40;20
1203;30;30
1204;30;20
1205;40;20
1206;40;30
1207;30;20
1208;40;20
1209;40;31
1210;30;20
1211;41;20
1212;40;20
1213;30;20
1214;30;20
1215;40;20
1216;30;30
1217;30;20
1218;40;20
1219;40;30
1220;30;20
1221;40;20
1222;40;31
1223;30;20
1224;31;20
1225;40;20
1226;30;20
1227;30;20
1228;40;20
1229;30;30
1230;30;20
1231;40;20
1232;40;30
1233;30;20
1234;30;20
1235;40;31
1236;30;341
1237;40;20
1238;30;30
1239;30;20
1240;40;20
1241;40;30
1242;30;20
1243;30;20
1244;40;20
1245;30;30
1246;30;20
1247;41;20
1248;30;30
1249;30;20
1250;40;20
1251;40;30
1252;30;20
1253;30;20
1254;30;20
1255;40;20
1256;30;30
1257;30;20
1258;40;21
1259;30;30
1260;31;20
1261;30;20
1262;40;30
1263;30;20
1264;30;20
1265;40;20
1266;30;20
1267;30;20
1268;40;20
1269;40;30
1270;30;20
1271;30;21
1272;40;20
1273;31;30
1274;30;20
1275;40;20
1276;30;30
1277;30;20
1278;40;20
1279;40;30
1280;30;20
1281;30;20
1282;40;20
1283;30;30
1284;30;21
1285;30;20
1286;40;20
1287;30;30
