n;Lista wiązana;Tablica dynamiczna
0;1443;752
1;110;281
2;70;70
3;70;50
4;61;701
5;70;70
6;80;50
7;60;50
8;51;210
9;50;60
10;61;50
11;50;60
12;50;61
13;50;60
14;60;70
15;60;70
16;60;200
17;50;80
18;60;70
19;50;80
20;60;80
21;61;80
22;61;90
23;60;80
24;60;81
25;60;80
26;60;80
27;60;80
28;60;100
29;60;100
30;50;100
31;50;100
32;60;290
33;50;100
34;50;110
35;60;100
36;60;120
37;60;100
38;50;110
39;50;120
40;60;120
41;60;120
42;60;120
43;60;110
44;50;120
45;60;120
46;60;120
47;50;130
48;60;120
49;50;130
50;60;130
51;60;130
52;60;130
53;50;140
54;60;130
55;50;140
56;50;140
57;50;140
58;60;150
59;60;140
60;60;150
61;50;150
62;60;150
63;50;160
64;60;12885
65;81;150
66;50;160
67;50;160
68;50;160
69;60;160
70;50;170
71;50;170
72;60;170
73;50;181
74;60;171
75;50;181
76;50;180
77;51;180
78;50;180
79;60;190
80;50;190
81;50;190
82;50;191
83;60;201
84;50;201
85;60;200
86;60;200
87;60;200
88;60;200
89;50;211
90;60;201
91;50;211
92;50;220
93;60;210
94;50;210
95;60;220
96;50;221
97;50;231
98;61;220
99;60;220
100;50;230
101;50;231
102;50;231
103;50;230
104;60;230
105;50;240
106;60;231
107;50;241
108;51;250
109;60;240
110;60;241
111;60;241
112;60;250
113;60;250
114;50;261
115;50;261
116;50;260
117;50;260
118;50;261
119;50;271
120;50;270
121;50;270
122;50;271
123;60;281
124;61;270
125;50;280
126;50;281
127;50;280
128;60;451
129;60;291
130;50;290
131;60;291
132;50;291
133;50;290
134;60;291
135;50;301
136;51;300
137;50;301
138;60;311
139;51;300
140;60;301
141;60;311
142;61;310
143;60;311
144;60;311
145;50;320
146;50;321
147;50;320
148;50;330
149;50;321
150;61;330
151;50;331
152;50;331
153;2534;351
154;60;341
155;50;341
156;50;351
157;60;351
158;51;350
159;50;351
160;50;360
161;50;361
162;50;381
163;60;351
164;50;361
165;50;360
166;50;361
167;51;360
168;50;371
169;60;360
170;50;371
171;60;371
172;60;381
173;60;381
174;60;371
175;50;381
176;50;390
177;60;391
178;50;390
179;60;391
180;60;390
181;50;401
182;50;390
183;50;401
184;50;400
185;60;401
186;60;391
187;50;401
188;50;411
189;50;411
190;50;411
191;60;411
192;60;411
193;50;431
194;50;421
195;50;420
196;60;431
197;60;421
198;60;421
199;50;431
200;60;421
201;60;431
