n;Lista wiązana;Tablica dynamiczna
50000;105580;57188
49999;81705;62939
49998;80282;56758
49997;81023;56738
49996;81244;56777
49995;82276;56758
49994;81374;56777
49993;82787;56727
49992;81765;60905
49991;81495;56777
49990;80994;56737
49989;82095;56808
49988;82145;56737
49987;80953;56778
49986;81414;56787
49985;81885;56798
49984;87445;56708
49983;82105;56778
49982;81474;56708
49981;80763;58531
49980;81775;175663
49979;81845;61226
49978;63731;61186
49977;77227;56667
49976;82456;56688
49975;62539;63029
49974;52619;56727
49973;82777;56687
49972;81294;57750
49971;44003;62028
49970;89599;58611
49969;82867;56707
49968;81454;56748
49967;81385;56757
49966;81344;56738
49965;81615;56728
49964;82507;56777
49963;87756;56788
49962;81114;56747
49961;81945;58601
49960;82066;56687
49959;81755;56757
49958;81905;56748
49957;92876;58771
49956;92565;56958
49955;52410;61356
49954;44755;64543
49953;75202;57088
49952;83118;56837
49951;81985;57148
49950;81444;56778
49949;81284;79231
49948;81694;56748
49947;81835;56667
49946;82426;56738
49945;81885;77056
49944;82105;56708
49943;81565;56788
49942;81825;98978
49941;81444;56798
49940;82867;56677
49939;81164;56727
49938;83739;56677
49937;81915;56728
49936;81795;56738
49935;88638;56697
49934;65614;59002
49933;62789;59283
49932;41899;61236
49931;82427;63109
49930;72457;143492
49929;66266;56797
49928;105039;58892
49927;81755;56688
49926;81795;56748
49925;81113;56678
49924;82036;58591
49923;81264;58440
49922;81785;56738
49921;81164;78609
49920;81925;56668
49919;81955;56657
49918;82025;58400
49917;81875;56708
49916;83048;58501
49915;116130;56688
49914;86554;56707
49913;81625;56747
49912;82667;56697
49911;80302;56848
49910;81624;56697
49909;81604;56658
49908;81464;56707
49907;86704;56677
49906;82817;56627
49905;81384;58501
49904;80953;56678
49903;81795;56648
49902;82226;56678
49901;82407;56727
49900;82757;62899
49899;82777;56617
49898;82416;58441
49897;81154;56688
49896;81845;56677
49895;81193;56647
49894;81704;56637
49893;82366;62047
49892;82627;56677
49891;81865;56638
49890;81895;56597
49889;81174;56608
49888;81595;56617
49887;81384;56638
49886;81014;56677
49885;89289;56668
49884;81405;56697
49883;80623;56687
49882;81885;58491
49881;82496;56647
49880;83348;56648
49879;81525;56677
49878;88257;56618
49877;81144;56698
49876;81294;56617
49875;81253;58510
49874;81975;56637
49873;80823;56637
49872;81574;56668
49871;88537;56618
49870;82185;56657
49869;84951;56607
49868;82666;56738
49867;82255;56667
49866;81785;56657
49865;80763;56697
49864;87736;56628
49863;82676;56618
49862;82547;56737
49861;82286;56627
49860;81074;56627
49859;82726;56577
49858;81634;56628
49857;87516;58471
49856;82015;56578
49855;80673;56598
49854;80593;56617
49853;82246;56567
49852;82626;56567
49851;96884;56607
49850;102624;56597
49849;96783;56627
49848;96814;56577
49847;96833;58832
49846;96813;56587
49845;96863;56627
49844;96783;56577
49843;96803;56607
49842;96834;56547
49841;96833;56577
49840;96813;57859
49839;99909;60395
49838;97735;56577
49837;109728;56788
49836;97094;56677
49835;98947;60574
49834;101051;58070
49833;99148;56617
49832;96844;58450
49831;119567;57569
49830;97875;56608
49829;96884;56788
49828;118284;56588
49827;99077;56588
49826;96784;56557
49825;97975;67488
49824;98096;56527
49823;107123;57509
49822;97124;62368
49821;96933;60806
49820;97334;56598
49819;106562;65114
49818;98306;58401
49817;96843;129025
49816;97083;56557
49815;96874;56768
49814;96784;56557
49813;96763;67257
49812;96793;56557
49811;96763;56547
49810;96804;56557
49809;96773;56527
49808;96823;56588
49807;96714;56527
49806;102073;56517
49805;96803;56548
49804;96714;56537
49803;123404;56457
49802;96784;56437
49801;96744;56487
49800;103056;56517
49799;96733;56527
49798;96713;56537
49797;96753;56548
49796;96804;56617
49795;96703;56507
49794;96733;58401
49793;103857;56537
49792;96714;56517
49791;96694;56547
49790;96743;56537
49789;96743;56587
49788;96703;56598
49787;102154;56577
49786;96723;56608
49785;96714;56527
49784;96683;56547
49783;96723;58641
49782;96703;56467
49781;96693;62388
49780;97024;56547
49779;96713;56497
49778;96683;56537
49777;96663;56527
49776;96683;56537
49775;96653;56537
49774;102985;56447
49773;98096;56487
49772;99108;56527
49771;96693;56508
49770;96693;56467
49769;96633;56567
49768;96684;62488
49767;96623;56477
49766;96663;56537
49765;96623;56497
49764;96703;56497
49763;96623;56777
49762;100270;56407
49761;102394;56477
49760;96713;56457
49759;96593;56487
49758;96743;56537
49757;96633;56467
49756;96663;56527
49755;96713;61848
49754;96663;56527
49753;97063;56627
49752;96723;56527
49751;96623;56587
49750;96653;56537
49749;96633;58391
49748;102314;56467
49747;96623;56447
49746;96643;56497
49745;96603;56427
49744;96653;56467
49743;96582;56537
49742;96603;61777
49741;96673;56477
49740;96673;56497
49739;96643;56497
49738;96644;58370
49737;96573;56407
49736;96613;56497
49735;103225;56507
49734;99969;56617
49733;99087;56758
49732;99980;56497
49731;102003;58401
49730;96673;56567
49729;105380;59212
49728;98366;56617
49727;97495;60555
49726;97184;56558
49725;96694;72667
49724;99489;56507
49723;96623;64632
49722;96563;56447
49721;96583;56467
49720;96673;56467
49719;96573;56577
49718;96533;56407
49717;96614;56426
49716;102434;56467
49715;96583;58341
49714;96552;56436
49713;96573;56427
49712;96673;56507
49711;96583;56437
49710;167026;56467
49709;97044;56417
49708;96683;58280
49707;96563;56447
49706;96573;56447
49705;96623;56386
49704;96673;65364
49703;96583;56427
49702;96543;56477
49701;96563;56417
49700;96663;56427
49699;96533;56427
49698;96533;56367
49697;102795;56437
49696;123544;56457
49695;233132;57669
49694;102474;60114
49693;100490;56436
49692;104609;61366
49691;97294;63450
49690;98006;60695
49689;97384;56477
49688;96603;56416
49687;96493;56477
49686;96543;65374
49685;96533;56356
49684;96513;56437
49683;96513;56417
49682;96573;56377
49681;96543;56357
49680;96493;56427
49679;105951;56417
49678;96453;56377
49677;96503;58250
49676;96543;56447
49675;96523;56367
49674;96543;56357
49673;96503;62779
49672;99969;58220
49671;96452;56377
49670;98286;57780
49669;98857;56447
49668;97345;62027
49667;98977;63039
49666;107453;56427
49665;96463;58240
49664;97304;59923
49663;96503;56387
49662;96452;56407
49661;96453;56447
49660;105751;56457
49659;96463;58190
49658;96482;56376
49657;96403;58280
49656;96412;56366
49655;96433;56377
49654;96433;62949
49653;96433;56347
49652;96472;56427
49651;96453;58270
49650;96463;56447
49649;96533;56357
49648;96463;56447
49647;103196;58200
49646;96463;56297
49645;96403;56347
49644;96432;58271
49643;96413;56377
49642;96402;56307
49641;96422;62849
49640;96402;58231
49639;96483;56317
49638;96422;56347
49637;96392;56376
49636;96443;56317
49635;96413;56447
49634;102113;58150
49633;96393;56337
49632;96373;58150
49631;97906;58370
49630;96673;56336
49629;96423;56397
49628;96643;64983
49627;96793;56346
49626;96553;56387
49625;96382;56337
49624;96503;56327
49623;96383;58391
49622;96473;56417
49621;107293;56367
49620;96984;58280
49619;96443;56427
49618;111632;57609
49617;96543;56377
49616;96342;56377
49615;103897;56286
49614;96363;56297
49613;96383;56347
49612;96362;56267
49611;96362;56307
49610;96402;56327
49609;96322;62990
49608;96302;56417
49607;96502;56356
49606;96333;56337
49605;96313;56317
49604;137270;58171
49603;96413;56287
49602;103155;58170
49601;96353;58110
49600;96392;56367
49599;96362;56397
49598;96353;56276
49597;96332;58181
49596;106492;56808
49595;96403;58210
49594;96362;56297
49593;96362;56307
49592;96352;58150
49591;96323;56447
49590;113795;62469
49589;96362;56377
49588;96373;58140
49587;96312;56297
49586;96373;56227
49585;96273;58150
49584;96392;58160
49583;102785;56257
49582;96392;56317
49581;96372;56366
49580;96282;56286
49579;96312;56287
49578;96292;56267
49577;96252;62949
49576;99078;56497
49575;96313;58120
49574;96512;56327
49573;96292;56307
49572;96342;56267
49571;96332;56287
49570;105469;58170
49569;96382;56286
49568;96242;58100
49567;96262;56306
49566;96262;56297
49565;96242;56287
49564;96322;62629
49563;96252;56287
49562;96323;56257
49561;96203;56246
49560;96292;58141
49559;96263;56387
49558;96263;56286
49557;102825;56367
49556;97175;58070
49555;96253;56357
49554;96333;58180
49553;96212;56257
49552;96233;56457
49551;99709;65925
49550;96283;56266
49549;97635;56276
49548;99859;56316
49547;96262;56297
49546;96382;56236
49545;103847;56356
49544;96443;56217
49543;96363;56267
49542;96323;56297
49541;97004;56257
49540;96372;56277
49539;96272;56217
49538;104037;58070
49537;96342;56307
