n;Lista wiązana;Tablica dynamiczna
50000;247300;441
49999;73329;30
49998;56206;30
49997;55666;30
49996;55736;30
49995;55595;30
49994;55024;30
49993;68229;30
49992;58451;30
49991;55114;30
49990;55185;30
49989;55666;30
49988;55726;30
49987;55134;30
49986;55125;30
49985;59152;131
49984;57559;30
49983;61857;140
49982;61066;30
49981;55626;30
49980;55776;30
49979;65534;30
49978;58501;30
49977;55645;30
49976;72367;40
49975;68239;41
49974;71696;40
49973;55976;40
49972;55164;40
49971;55114;40
49970;55876;40
49969;55154;31
49968;55074;30
49967;57539;161
49966;56807;31
49965;60906;40
49964;55175;30
49963;54904;20
49962;55856;40
49961;54904;30
49960;54874;40
49959;65534;31
49958;55856;30
49957;54623;31
49956;55165;30
49955;55174;30
49954;55134;30
49953;55195;40
49952;55115;30
49951;55796;150
49950;55686;30
49949;54573;30
49948;55064;30
49947;55175;30
49946;55706;40
49945;55705;30
49944;55786;40
49943;55796;30
49942;64482;30
49941;55896;30
49940;54824;40
49939;55746;40
49938;55775;30
49937;55045;30
49936;55095;40
49935;55826;161
49934;55085;30
49933;55095;30
49932;55125;30
49931;54864;30
49930;55716;20
49929;55765;40
49928;54914;30
49927;55445;40
49926;55074;30
49925;55074;40
49924;58751;31
49923;56638;30
49922;55666;40
49921;55756;30
49920;55054;40
49919;55014;171
49918;55776;40
49917;55074;30
49916;55806;30
49915;55095;30
49914;54714;30
49913;55645;31
49912;55796;40
49911;55695;30
49910;54964;40
49909;55695;31
49908;54954;30
49907;55585;41
49906;59293;30
49905;57620;30
49904;55706;40
49903;54874;20
49902;55786;30
49901;55665;21
49900;55736;30
49899;55055;40
49898;55706;30
49897;55746;30
49896;55015;30
49895;55686;40
49894;55766;30
49893;55064;30
49892;55666;30
49891;54854;41
49890;55054;30
49889;55265;30
49888;59573;30
49887;55656;40
49886;55926;40
49885;76154;40
49884;61396;40
49883;62860;30
49882;59102;40
49881;58531;40
49880;59133;30
49879;57990;110
49878;60675;50
49877;59092;40
49876;60305;50
49875;60775;50
49874;62569;40
49873;64482;40
49872;72357;40
49871;57830;30
49870;58712;30
49869;56827;30
49868;56437;40
49867;56437;30
49866;56067;30
49865;55766;30
49864;57849;30
49863;56437;30
49862;55986;30
49861;56457;20
49860;55937;30
49859;56357;30
49858;56347;40
49857;56157;30
49856;56177;40
49855;61747;40
49854;57069;40
49853;59102;41
49852;57038;30
49851;57098;40
49850;56467;40
49849;56998;40
49848;56538;40
49847;57159;30
49846;56598;30
49845;56177;30
49844;56337;40
49843;58621;30
49842;66707;30
49841;57109;30
49840;56608;30
49839;56538;130
49838;56377;31
49837;87516;40
49836;57118;41
49835;58301;40
49834;57269;30
49833;57780;30
49832;56677;40
49831;56387;30
49830;56578;30
49829;58521;40
49828;59864;30
49827;60004;30
49826;57920;30
49825;57559;40
49824;59463;30
49823;57689;150
49822;56267;40
49821;66025;40
49820;56738;30
49819;55986;30
49818;56878;30
49817;56477;20
49816;56968;30
49815;55876;31
49814;57048;40
49813;56878;30
49812;56057;30
49811;56287;30
49810;56347;30
49809;56938;30
49808;56978;20
49807;56918;30
49806;56487;30
49805;57008;40
49804;55876;30
49803;62809;30
49802;56127;30
49801;56968;40
49800;55976;30
49799;56166;40
49798;58250;41
49797;58121;20
49796;56027;30
49795;57018;30
49794;56627;31
49793;57028;30
49792;62178;30
49791;76085;30
49790;57099;30
49789;63240;30
49788;56988;30
49787;56286;31
49786;62358;40
49785;56948;30
49784;56848;30
49783;56257;30
49782;55876;40
49781;56868;30
49780;56266;41
49779;56778;30
49778;56477;30
49777;55916;40
49776;56357;30
49775;57028;30
49774;55936;30
49773;56858;40
49772;56387;30
49771;56357;40
49770;55576;40
49769;59634;30
49768;56207;40
49767;55745;30
49766;56217;40
49765;56197;30
49764;55977;40
49763;56828;30
49762;55936;30
49761;56407;30
49760;56397;30
49759;56777;31
49758;56778;40
49757;56808;30
49756;56256;40
49755;56227;30
49754;55926;40
49753;56257;40
49752;56738;30
49751;60514;30
49750;56858;40
49749;56276;30
49748;55886;40
49747;55886;30
49746;56798;40
49745;55775;30
49744;55806;40
49743;55645;30
49742;56076;30
49741;55876;40
49740;56778;30
49739;55745;30
49738;55676;40
49737;55786;30
49736;56186;30
49735;56738;20
49734;69582;40
49733;56597;30
49732;56477;20
49731;55886;30
49730;59052;41
49729;61326;31
49728;56457;30
49727;55766;30
49726;55485;30
49725;56096;30
49724;56197;40
49723;56287;30
49722;55806;40
49721;55866;30
49720;56126;40
49719;55746;30
49718;56467;41
49717;56207;30
49716;59794;30
49715;56327;30
49714;56106;40
49713;56687;30
49712;56267;40
49711;56217;30
49710;56447;30
49709;56337;30
49708;56056;40
49707;56076;30
49706;56237;40
49705;56006;41
49704;101783;30
49703;132942;40
49702;136759;30
49701;132932;30
49700;133613;30
49699;132862;30
49698;132932;30
49697;132992;30
49696;132952;40
49695;132953;30
49694;136670;40
49693;132913;30
49692;132682;30
49691;132872;30
49690;132912;40
