n;Lista wiązana;Tablica dynamiczna
50000;1452;76435
49999;350;75744
49998;160;75744
49997;30;75704
49996;30;75683
49995;130;75693
49994;30;75704
49993;50;75764
49992;151;75713
49991;30;76034
49990;50;77527
49989;40;83678
49988;80;76475
49987;40;75724
49986;30;77317
49985;50;75773
49984;160;75754
49983;261;76916
49982;331;75754
49981;201;75703
49980;30;75744
49979;40;75694
49978;30;75684
49977;30;75684
49976;30;84631
49975;80;79541
49974;40;78178
49973;30;78109
49972;30;78128
49971;30;78098
49970;151;78128
49969;30;78108
49968;261;78108
49967;151;78088
49966;130;78148
49965;30;78088
49964;140;78098
49963;30;82256
49962;30;78168
49961;30;78149
49960;30;78138
49959;30;78138
49958;30;78038
49957;30;78189
49956;30;78148
49955;30;78168
49954;30;78108
49953;30;78109
49952;30;78018
49951;30;80733
49950;30;78099
49949;30;78078
49948;130;78088
49947;30;78128
49946;30;78059
49945;30;78118
49944;130;78078
49943;31;78088
49942;150;78128
49941;30;78169
49940;40;78068
49939;30;78078
49938;40;81285
49937;40;78098
49936;30;78098
49935;130;78078
49934;30;78069
49933;30;77978
49932;51;78148
49931;30;78069
49930;30;78058
49929;30;78098
49928;40;78058
49927;30;78048
49926;30;78188
49925;30;80854
49924;30;78038
49923;30;78048
49922;30;78058
49921;30;78058
49920;30;78068
49919;30;78139
49918;30;78018
49917;30;77978
49916;30;78108
49915;30;78048
49914;40;78018
49913;30;83528
49912;50;87216
49911;50;78058
49910;40;78048
49909;30;78089
49908;30;77978
49907;30;78098
49906;251;78048
49905;30;78098
49904;30;78058
49903;30;78028
49902;30;78048
49901;40;77958
49900;30;101112
49899;41;78018
49898;30;78018
49897;30;78008
49896;30;78038
49895;30;78028
49894;30;77988
49893;30;78008
49892;30;78038
49891;30;78038
49890;30;78048
49889;40;78008
49888;30;77998
49887;30;81445
49886;40;78058
49885;30;77978
49884;30;78008
49883;30;78028
49882;30;78069
49881;30;77998
49880;31;77927
49879;30;77908
49878;40;77948
49877;30;77998
49876;30;77998
49875;30;80523
49874;30;77968
49873;30;77937
49872;30;77938
49871;30;77948
49870;30;77908
49869;30;77958
49868;30;78049
49867;40;77948
49866;30;77968
49865;30;78038
49864;30;77948
49863;40;77978
49862;40;81174
49861;40;77858
49860;40;77968
49859;40;77948
49858;30;78008
49857;31;77968
49856;30;77948
49855;30;77928
49854;30;77978
49853;30;77948
49852;30;77978
49851;30;77908
49850;30;77947
49849;30;80683
49848;41;77947
49847;30;77988
49846;30;81425
49845;30;77927
49844;30;77888
49843;30;77928
49842;41;77877
49841;30;77938
49840;30;81475
49839;171;77948
49838;30;77908
49837;30;77918
49836;160;81394
49835;30;77908
49834;40;77928
49833;30;77867
49832;130;77898
49831;30;77898
49830;30;77888
49829;30;77918
49828;40;77908
49827;30;77988
49826;30;77918
49825;30;77887
49824;30;80763
49823;41;77938
49822;30;77898
49821;30;77848
49820;30;77857
49819;30;77898
49818;30;77938
49817;30;77948
49816;30;77878
49815;30;77908
49814;30;77938
49813;40;77918
49812;30;77848
49811;30;80994
49810;40;77837
49809;30;77878
49808;30;77868
49807;30;77878
