n;Lista wiązana;Tablica dynamiczna
0;135.73;70.6
1;22.07;23.37
2;29.0;23.0
3;21.4;23.73
4;24.67;23.03
5;27.0;21.77
6;30.1;23.77
7;22.47;23.0
8;26.0;23.77
9;22.7;22.4
10;29.4;22.67
11;27.37;23.1
12;29.0;22.43
13;26.03;23.07
14;31.4;22.0
15;27.1;23.33
16;31.73;24.4
17;27.67;22.67
18;34.73;22.37
19;27.07;23.4
20;35.13;23.03
21;28.73;23.0
22;36.37;22.03
23;31.07;21.77
24;35.07;21.7
25;30.43;23.37
26;36.03;22.37
27;31.77;21.77
28;35.1;22.47
29;30.73;22.37
30;36.43;22.4
31;33.43;22.37
32;38.7;22.4
33;36.7;23.33
34;39.13;23.07
35;37.37;23.0
36;41.1;21.73
37;38.43;23.0
38;42.1;21.07
39;38.8;23.07
40;43.7;23.43
41;39.37;24.37
42;41.03;22.4
43;40.77;22.4
44;44.47;23.03
45;41.43;24.37
46;43.73;23.43
47;41.43;23.03
48;45.7;22.73
49;43.1;22.67
50;46.07;21.7
51;45.1;21.7
52;47.1;22.43
53;44.03;22.43
54;48.33;23.03
55;46.4;21.7
56;49.2;23.33
57;47.43;22.7
58;48.13;22.77
59;47.73;22.7
60;50.47;22.7
61;48.73;22.77
62;51.47;21.37
63;50.07;23.03
64;52.07;23.07
65;51.7;21.03
66;53.43;21.33
67;52.17;24.07
68;55.77;23.4
69;52.8;22.8
70;55.4;22.7
71;53.37;22.7
72;57.13;22.4
73;55.1;23.1
74;58.6;22.73
75;56.8;22.03
76;58.73;23.03
77;56.73;21.7
78;60.43;23.03
79;57.47;22.73
80;62.03;21.73
81;59.17;23.7
82;62.1;23.4
83;62.47;22.33
84;62.43;21.03
85;61.43;24.07
86;64.17;22.03
87;63.73;22.73
88;67.5;24.03
89;64.77;22.7
90;67.8;21.43
91;64.43;22.03
92;68.5;21.0
93;66.13;22.07
94;69.1;22.1
95;67.77;21.7
96;69.8;24.37
97;70.13;23.4
98;72.17;22.37
99;70.83;22.73
100;72.57;22.4
101;73.77;22.0
102;74.07;23.4
103;76.13;23.7
104;77.47;24.33
105;79.3;23.37
106;80.93;23.0
107;79.57;21.03
108;81.87;22.13
109;82.5;22.03
110;85.8;22.33
111;85.8;22.33
112;88.8;22.07
113;89.47;21.1
114;91.83;21.73
115;90.47;22.73
116;92.8;22.73
117;92.5;23.07
118;93.8;22.43
119;96.83;22.7
120;97.47;22.67
121;100.9;22.73
122;100.53;23.7
123;99.87;23.4
124;102.2;22.4
125;101.17;22.33
126;103.83;23.03
127;103.2;23.0
128;109.17;23.03
129;105.83;22.67
130;109.57;22.7
131;107.8;22.03
132;110.23;21.73
133;109.3;22.67
134;112.9;23.0
135;112.13;22.77
136;113.17;22.73
137;114.3;22.33
138;115.6;23.37
139;114.1;21.0
140;117.2;22.03
141;115.9;21.37
142;117.17;21.73
143;117.63;22.0
144;116.83;22.03
145;118.77;24.73
146;121.93;23.0
147;120.9;22.33
148;124.6;23.37
149;123.57;22.47
150;125.87;22.37
151;126.53;21.67
152;127.2;22.73
153;127.23;22.03
154;130.0;23.37
155;128.53;22.4
156;131.3;21.7
157;131.83;24.43
158;133.9;22.1
159;131.87;22.37
160;136.53;23.03
161;134.93;23.67
162;137.3;23.7
163;139.3;22.67
164;141.07;22.33
165;140.47;22.4
166;145.63;22.73
167;145.57;22.1
168;143.63;23.33
169;148.13;23.37
170;151.0;22.37
171;150.0;23.37
172;151.6;24.4
173;151.53;24.1
174;154.67;22.7
175;154.77;21.37
176;157.23;22.67
177;155.33;21.37
178;158.63;23.47
179;156.93;21.67
180;160.6;22.77
181;160.6;21.4
182;162.77;23.03
183;162.2;23.4
184;162.93;21.33
185;162.4;24.43
186;167.6;22.73
187;167.63;22.67
188;168.07;24.33
189;168.9;24.03
190;170.9;23.0
191;169.77;22.7
192;172.97;22.7
193;174.2;23.73
194;174.77;23.37
195;172.97;22.37
196;175.97;23.73
197;172.7;23.7
198;175.93;22.37
199;177.3;23.37
200;179.37;23.07
201;180.97;22.03
202;181.03;23.0
203;180.33;22.67
204;182.03;23.0
205;181.7;22.33
206;183.97;22.33
207;185.03;20.67
208;186.23;22.1
209;187.23;22.03
210;190.27;22.37
211;189.47;23.4
212;190.97;21.67
213;190.3;23.4
214;192.1;22.33
215;193.17;21.67
216;196.87;25.0
217;194.2;24.07
218;196.63;23.7
219;196.6;23.33
220;199.47;22.4
221;198.67;23.0
222;201.4;23.03
223;199.6;22.37
224;206.37;23.43
