n;Lista wiązana;Tablica dynamiczna
1;78;62
101;102;22
201;190;22
301;288;20
401;388;22
501;521;22
601;607;24
701;719;20
801;857;24
901;936;20
1001;1022;22
1101;1122;22
1201;1236;22
1301;1342;22
1401;1451;26
1501;1611;24
1601;1663;20
1701;1773;22
1801;1930;22
1901;2016;20
2001;2170;26
2101;2328;24
2201;2320;22
2301;2483;22
2401;2583;20
2501;2737;24
2601;2783;22
2701;2921;24
2801;2986;24
2901;3138;20
3001;3194;24
3101;3356;24
3201;3417;24
3301;3485;22
3401;3615;24
3501;3709;20
3601;3845;22
3701;3960;28
3801;4108;24
3901;4176;22
4001;4194;22
4101;5032;20
4201;4458;20
4301;4595;22
4401;4732;20
4501;4843;22
4601;4888;20
4701;4974;20
4801;5122;22
4901;5272;24
5001;5307;22
5101;5455;22
5201;5517;22
5301;5611;24
5401;5783;20
5501;5793;22
5601;6020;24
5701;6128;20
5801;6208;24
5901;6318;20
6001;6371;22
6101;6523;24
6201;6617;20
6301;6685;22
6401;6798;22
6501;6872;22
6601;7016;24
6701;7126;22
6801;7287;24
6901;7303;20
7001;7473;22
7101;7541;26
7201;7701;24
7301;7752;24
7401;7910;22
7501;8046;22
7601;8154;22
7701;8110;22
7801;8812;20
7901;8924;22
8001;8481;22
8101;8549;24
8201;8690;20
8301;8800;26
8401;8938;22
8501;9054;20
8601;9135;22
8701;9215;22
8801;9327;22
8901;9403;22
9001;9631;26
9101;9657;28
9201;9648;24
9301;9202;22
9401;10289;20
9501;9962;26
9601;10634;24
9701;10271;26
9801;10373;22
9901;10419;20
10001;10629;20
10101;10681;20
10201;10776;24
10301;10904;22
10401;10934;22
10501;10972;22
10601;11098;22
10701;11182;22
10801;11379;20
10901;11481;24
11001;11435;22
11101;11650;24
11201;11836;24
11301;12022;22
11401;11946;22
11501;12070;26
11601;12165;26
11701;12271;20
11801;12497;26
11901;12549;20
12001;12612;24
12101;12654;24
12201;12868;24
12301;13627;24
12401;12932;26
12501;13191;20
12601;13305;24
12701;13553;20
12801;13692;26
12901;13810;22
13001;14355;20
13101;13864;22
13201;13820;24
13301;14081;22
13401;14106;20
13501;14177;22
13601;14319;24
13701;14371;24
13801;14592;22
13901;14696;22
14001;14636;20
14101;14840;24
14201;14970;28
14301;15028;22
14401;15139;24
14501;15263;24
14601;15335;26
14701;15460;26
14801;15501;24
14901;16982;22
15001;16614;24
15101;15952;26
15201;15974;22
15301;16018;24
15401;16215;26
15501;16177;26
15601;16371;24
15701;16395;24
15801;16533;20
15901;16800;20
16001;21449;24
16101;17012;20
16201;18317;22
16301;16986;26
16401;17836;26
16501;17331;24
16601;17468;22
16701;17598;22
16801;17698;20
16901;17635;24
17001;17786;20
17101;18533;24
17201;17995;22
17301;18136;22
17401;18309;20
17501;18259;22
17601;18518;22
17701;18612;22
17801;18655;22
17901;18848;20
18001;18780;22
18101;21359;22
18201;20118;26
18301;19215;24
18401;19606;24
18501;19247;22
18601;19513;22
18701;19630;20
18801;19794;24
18901;19754;24
19001;20582;22
19101;20045;24
19201;20069;26
19301;20261;26
19401;20311;22
19501;20558;22
19601;20528;28
19701;20844;28
19801;20806;22
19901;21057;22
20001;21089;24
20101;21341;24
20201;21411;30
20301;21321;26
20401;21544;24
20501;21604;28
20601;21690;24
20701;27269;22
20801;21848;26
20901;21995;24
21001;22676;28
21101;22269;22
21201;22329;24
21301;22370;26
21401;22502;24
21501;22592;28
21601;22684;24
21701;23397;24
21801;22959;26
21901;23053;30
22001;23225;26
22101;23323;24
22201;23931;22
22301;23383;22
22401;23586;28
22501;26858;28
22601;26630;20
22701;23828;24
22801;24656;22
22901;24213;28
23001;24085;26
23101;24285;24
23201;24403;28
23301;24387;24
23401;25542;22
23501;24656;20
23601;25429;24
23701;24775;24
23801;24944;24
23901;24965;26
24001;25181;24
24101;25387;24
24201;25390;24
24301;25395;24
24401;25632;24
24501;25720;26
24601;26516;22
24701;26035;24
24801;26007;26
24901;26067;22
25001;26147;24
25101;26448;22
25201;26941;26
25301;31145;24
25401;26626;26
25501;26761;24
25601;27564;22
25701;27602;22
25801;27171;24
25901;27207;26
26001;27355;26
26101;38152;40
26201;28185;24
26301;27634;28
26401;32831;28
26501;26196;24
26601;26265;24
26701;26554;24
26801;26598;24
26901;26726;26
27001;27654;28
27101;26883;26
27201;27332;22
27301;27071;26
27401;27201;30
27501;27340;22
27601;27468;26
27701;27488;26
27801;27572;24
27901;27737;24
28001;27818;26
28101;34315;24
28201;28001;26
28301;28304;26
28401;28294;26
28501;28250;26
28601;28242;24
28701;28556;22
