n;Lista wiązana;Tablica dynamiczna
0;299.93;238.2
1;22.73;22.7
2;38.07;40.37
3;24.7;25.73
4;30.07;29.4
5;24.37;24.03
6;29.73;29.0
7;23.67;27.4
8;30.7;30.77
9;25.1;25.4
10;30.1;35.33
11;24.33;26.7
12;148.93;35.07
13;28.37;26.7
14;34.67;35.37
15;33.03;28.73
16;40.37;35.8
17;37.67;31.8
18;41.7;37.8
19;37.03;31.13
20;43.4;39.73
21;40.43;34.43
22;47.47;38.4
23;40.77;33.03
24;48.33;43.03
25;42.73;39.0
26;50.4;46.0
27;42.4;37.07
28;49.07;46.47
29;40.77;42.67
30;49.07;49.43
31;40.4;42.37
32;50.73;48.4
33;41.37;42.03
34;50.03;48.07
35;43.4;44.73
36;50.87;51.77
37;43.33;42.43
38;51.7;51.5
39;43.43;47.03
40;48.1;52.77
41;45.0;45.77
42;59.47;50.8
43;51.07;49.47
44;54.43;53.7
45;47.83;48.4
46;54.1;58.1
47;50.07;50.43
48;55.37;59.9
49;52.07;52.87
50;58.73;59.43
51;176.67;55.07
52;59.7;59.37
53;55.73;56.37
54;61.07;61.5
55;58.07;55.1
56;63.73;62.5
57;60.13;57.43
58;64.43;63.43
59;60.1;57.4
60;66.5;65.5
61;61.8;59.87
62;65.8;67.23
63;63.5;62.57
64;67.87;68.1
65;65.17;63.1
66;69.5;69.1
67;65.5;63.7
68;69.47;71.13
69;67.07;65.87
70;70.3;72.07
71;69.13;68.7
72;71.77;73.47
73;68.1;68.4
74;74.13;73.37
75;69.33;70.8
76;69.77;75.57
77;70.5;74.4
78;75.4;78.47
79;71.43;74.77
80;76.47;79.5
81;72.07;76.63
82;76.53;82.23
83;73.27;77.43
84;77.93;81.8
85;73.8;76.1
86;79.73;83.13
87;75.87;78.17
88;80.2;84.7
89;77.0;79.5
90;77.4;80.0
91;74.97;79.8
92;87.17;93.8
93;79.8;83.13
94;87.77;85.13
95;80.07;87.2
96;86.7;85.13
97;80.93;93.33
98;83.93;89.43
