n;Lista wiązana;Tablica dynamiczna
1;38;66
101;86;90
201;130;150
301;170;210
401;220;272
501;266;332
601;312;395
701;364;459
801;405;515
901;453;581
1001;499;637
1101;545;701
1201;601;761
1301;643;826
1401;691;885
1501;747;946
1601;797;1008
1701;843;1070
1801;884;1134
1901;930;1194
2001;978;1250
2101;1024;1315
2201;1076;1374
2301;1176;1505
2401;1164;1497
2501;1212;1555
2601;1256;1617
2701;1300;1679
2801;1346;1737
2901;1391;1803
3001;1016;1304
3101;1487;1926
3201;1531;1988
3301;1577;2048
3401;1626;2104
3501;1673;2170
3601;1717;2232
3701;1766;2295
3801;1807;2354
3901;1856;3016
4001;1902;2475
4101;1948;2541
4201;1994;2595
4301;2046;2659
4401;2088;2720
4501;2130;2780
4601;2180;2838
4701;2227;2904
4801;2274;2964
4901;2319;3026
5001;352;442
5101;2411;3146
5201;2459;3209
5301;2505;3267
5401;2551;3325
5501;1910;2487
5601;2643;3453
5701;2592;3389
5801;1050;1355
5901;2785;3645
6001;2828;3700
6101;2872;3754
6201;2920;3822
6301;2966;3884
6401;3014;3944
6501;3054;4003
6601;3004;3936
6701;3153;4126
6801;3194;4191
6901;3243;4247
7001;3294;4311
7101;3340;4367
7201;3383;4427
7301;3435;4487
7401;2685;3511
7501;3523;4613
7601;3575;4675
7701;3617;4736
7801;3659;4798
7901;3711;4864
8001;3754;4922
8101;362;453
8201;3848;5048
8301;3898;5096
8401;3940;5163
8501;3992;5227
8601;4036;5289
8701;4094;5347
8801;4128;5405
8901;2253;2944
9001;4223;5526
9101;4265;5592
9201;4315;5658
9301;4359;5715
9401;4405;5778
9501;4457;5840
9601;4498;5894
9701;4544;5966
9801;4589;6025
9901;4642;6084
10001;4684;6149
10101;4732;6822
10201;837;1084
10301;4826;6331
10401;4870;6383
10501;4916;6451
10601;1950;2419
10701;5010;6574
10801;5056;6628
10901;5104;6694
11001;5145;6760
11101;5195;6822
11201;5499;6880
11301;5557;6959
11401;5341;7008
11501;5383;7067
11601;5457;7125
11701;5473;7193
11801;5528;7247
11901;5619;7023
12001;5638;7371
12101;5664;7435
12201;5715;7498
12301;5754;7555
12401;6339;7536
12501;3880;5080
12601;5896;7740
12701;6612;7804
12801;6013;7858
12901;6061;7917
13001;3966;5121
13101;1810;2281
13201;6255;8113
13301;6275;8179
13401;6367;8243
13501;6419;8297
13601;7185;8361
13701;6532;8430
13801;2145;2734
13901;6642;8554
14001;6736;8610
14101;6923;8680
14201;6908;8738
14301;6900;8802
14401;1162;1461
14501;1156;1459
14601;1615;2010
14701;1337;1689
14801;7129;9083
14901;7123;9173
15001;7265;9211
15101;7263;9274
15201;7297;9333
15301;5978;7608
15401;6503;8171
15501;7407;9516
15601;2200;2773
15701;1683;2144
15801;7581;9704
15901;7568;9767
16001;7632;9827
16101;7566;9624
16201;8037;9947
16301;7794;10009
16401;7874;10069
16501;3763;4844
16601;2605;3321
16701;7991;10253
16801;8037;10304
16901;8111;10376
17001;8418;10432
17101;8209;10494
17201;6606;8389
17301;8302;10620
17401;8374;10670
17501;8413;10743
17601;8440;11432
17701;7568;9644
17801;8496;10925
17901;6561;8386
18001;8975;11043
18101;9033;11109
18201;8766;11178
18301;9356;11248
18401;8792;11308
18501;8816;11360
18601;2018;2529
18701;8923;11486
18801;9135;11546
18901;9071;11600
19001;134;150
19101;4152;5054
19201;9291;11790
19301;124;120
19401;9598;11911
19501;9371;11967
19601;992;1182
19701;10372;12091
19801;9402;12143
19901;4828;5904
20001;9536;12284
20101;9604;12334
20201;9794;12430
20301;7841;9656
20401;10155;12522
20501;8762;11274
20601;7702;9907
20701;9921;12699
20801;5868;7128
20901;9969;12827
21001;10077;12887
21101;1625;2002
21201;10161;13005
21301;10177;13069
21401;4814;6090
21501;10272;13184
21601;8323;10656
21701;10482;13310
21801;6553;8277
21901;10590;13440
22001;10959;13499
22101;11209;13546
22201;10760;13620
22301;8121;10318
22401;10813;13737
22501;10099;12276
22601;11406;13863
22701;12276;13947
22801;10810;13483
22901;11532;14045
23001;11873;14112
23101;11205;14194
23201;11344;14264
23301;300;324
23401;12246;15711
23501;11336;14416
23601;11412;14473
23701;11546;14549
23801;11554;14610
23901;4469;5351
24001;3912;4716
24101;11720;14787
24201;11740;14853
24301;11766;14927
24401;11857;15655
24501;9145;11340
24601;7386;9318
24701;8634;10901
24801;12220;15206
24901;5972;7495
25001;12083;15339
25101;2481;3086
25201;4140;5229
25301;10318;12600
25401;3148;3924
25501;13033;15651
25601;4794;6061
25701;12442;15763
25801;5860;7032
25901;2864;3557
26001;13104;15967
26101;12664;16024
26201;13077;16090
26301;13336;16148
26401;9889;12432
26501;1747;2178
26601;715;841
26701;2128;2521
26801;9560;11143
26901;7107;8530
27001;8459;10488
27101;13751;17356
27201;13246;16685
27301;2004;2465
27401;13256;16802
27501;13332;16871
27601;13320;16919
27701;13697;16996
27801;13650;17054
27901;7523;9478
28001;1539;1835
28101;13588;17242
28201;12570;15881
28301;10207;12742
28401;5385;6724
28501;13749;17485
28601;13915;17541
28701;14008;17657
28801;14067;17665
28901;13995;17737
29001;14781;17781
29101;3526;4385
29201;7991;9658
29301;14188;18665
29401;8020;10059
29501;7445;9367
29601;5956;7478
29701;14470;18218
29801;3090;3932
29901;7812;9893
30001;14478;18397
30101;7977;10241
30201;6999;9466
30301;6299;7995
30401;14624;18645
30501;15160;18729
30601;1661;2096
30701;10403;13478
30801;15088;18946
30901;8131;10047
31001;15641;19058
31101;15695;19090
31201;15350;19118
31301;15354;19202
31401;5026;7051
31501;15386;19312
31601;15402;19391
31701;15474;19455
31801;10245;13037
31901;8137;10043
32001;5052;6451
32101;3070;3745
32201;15733;19744
32301;15773;19812
32401;9862;12660
32501;15781;19914
32601;15713;19992
32701;15913;20062
32801;16466;20122
32901;922;1128
33001;16254;20258
33101;15863;20299
33201;15994;20365
33301;16527;20409
33401;1657;2052
33501;17096;20545
33601;16671;20609
33701;2918;3585
33801;8516;10825
33901;601;731
34001;16745;21523
34101;16817;20928
34201;9467;11841
34301;15354;19060
34401;17557;21090
34501;3483;4429
34601;8856;11141
34701;7022;8848
34801;10985;13496
34901;13522;16878
35001;12182;15007
35101;1583;1958
35201;17306;21587
35301;6419;7746
35401;16037;20798
35501;14388;17930
35601;9991;12546
35701;1128;1361
35801;134;124
35901;17531;22042
36001;10318;12913
36101;17633;22128
36201;1906;2387
36301;17968;22277
36401;8465;10338
36501;1308;1529
36601;10598;12716
36701;8682;10935
36801;7754;9778
36901;17908;22627
37001;26700;22696
37101;16138;20128
37201;19367;22760
37301;8592;10901
37401;16825;21247
37501;9297;10812
37601;16865;21237
37701;18499;23143
37801;10981;13346
37901;11029;13987
38001;19643;23305
38101;15322;19477
38201;19343;23421
38301;18699;23491
38401;1000;1170
38501;2465;3070
38601;18619;23671
38701;9317;11799
38801;2920;3666
38901;1503;1880
39001;18797;23932
39101;19387;23980
39201;19180;24736
39301;19006;24115
39401;17942;22731
39501;765;885
39601;3204;3952
39701;4385;5511
39801;19214;24407
39901;10400;12735
40001;20056;24539
40101;7652;9642
40201;1106;1359
40301;19671;24704
40401;8327;10452
40501;15554;19228
40601;19934;24890
40701;19561;24941
40801;13807;17156
40901;14755;18679
41001;2312;2793
41101;9283;11682
41201;8960;11195
41301;17270;21182
41401;7225;9229
41501;20094;26131
41601;20146;26439
41701;19655;23890
41801;20561;25610
41901;6020;7403
42001;20369;26451
42101;18156;22878
42201;2573;3245
42301;20413;25940
42401;20804;25991
42501;9548;11678
42601;8285;10151
42701;944;1096
42801;20633;26249
42901;21208;26299
43001;9540;11983
43101;222;232
43201;2336;2934
43301;5707;7399
43401;9361;11648
43501;3593;4581
43601;21094;26754
43701;18643;23391
43801;3804;4842
43901;1236;1523
44001;8201;10381
44101;21270;27037
44201;21377;27117
44301;14995;18781
44401;481;553
44501;4036;5022
44601;7439;9448
44701;13506;16987
44801;21667;27469
44901;21790;27526
45001;11967;15019
45101;4696;5715
45201;3830;4525
45301;436;509
45401;21856;27828
45501;5691;7112
45601;15063;19607
45701;22124;28005
45801;10692;12498
45901;12578;16096
46001;2776;3224
46101;22605;28265
46201;1954;2371
46301;6082;7529
46401;10351;12789
46501;2527;3162
46601;9792;12263
46701;13674;16763
46801;94;86
46901;12099;15302
47001;867;1058
47101;5727;7187
47201;3118;3779
47301;8606;10417
47401;15358;19362
47501;23018;29822
47601;23984;29187
47701;22761;28291
47801;1659;1992
47901;12558;15707
48001;627;683
48101;23367;29488
48201;23212;29552
48301;23259;29628
48401;14893;16240
48501;15751;19122
48601;12009;15177
48701;8400;10740
48801;5165;6481
48901;24779;29987
49001;17194;21631
49101;7429;9363
49201;13370;16741
49301;11396;14470
49401;4930;6165
49501;6247;6890
49601;23830;30409
49701;24505;30456
49801;5311;6658
49901;24479;30053
