n;Lista wiązana;Tablica dynamiczna
3;163.8;409.5
4;40.37;144.2
5;27.03;40.1
6;34.07;31.07
7;91.03;33.7
8;46.43;87.47
9;30.4;37.4
10;55.03;26.4
11;81.83;34.4
12;83.77;30.43
13;71.17;38.7
14;71.23;35.7
15;66.1;40.17
16;66.2;146.83
17;57.47;41.8
18;64.77;35.43
19;44.7;41.4
20;55.03;37.37
21;65.4;43.17
22;66.8;36.67
23;70.9;45.37
24;74.47;39.43
25;66.77;46.13
26;77.87;41.07
27;100.8;45.03
28;65.17;41.73
29;54.5;48.8
30;62.8;43.67
31;54.43;49.37
32;61.53;279.6
33;88.73;52.1
34;69.7;49.43
35;79.83;55.47
36;62.73;52.1
37;66.43;56.1
38;75.17;54.47
39;107.5;59.73
40;62.13;54.37
41;59.9;61.37
42;66.8;54.07
43;60.83;62.8
44;64.5;57.4
45;61.0;63.43
46;64.8;57.5
47;60.17;65.8
48;66.0;61.1
49;62.73;66.17
50;73.83;60.5
51;64.43;66.73
52;68.1;64.4
53;63.53;68.73
54;69.13;63.1
55;63.67;69.8
56;67.93;64.17
57;61.8;72.47
58;69.73;65.13
59;61.87;72.17
60;69.17;67.83
61;63.77;74.77
62;70.87;183.0
63;63.43;75.87
64;69.7;190.7
65;97.8;76.57
66;89.13;69.77
67;75.87;78.43
68;99.2;76.47
69;75.47;84.17
70;77.83;72.8
71;71.83;80.63
72;76.13;77.53
73;69.8;81.7
74;78.83;79.17
75;92.6;85.2
76;112.1;82.53
77;78.9;87.77
78;77.83;80.53
79;80.5;86.2
80;77.43;82.53
81;74.77;88.43
82;78.83;82.17
83;77.53;84.17
84;79.77;85.53
85;76.47;91.43
86;79.53;83.87
87;75.83;91.17
88;81.43;85.47
89;83.8;92.17
90;88.2;87.5
91;104.83;95.57
92;121.8;89.53
93;93.2;96.47
94;87.73;90.93
95;86.57;97.2
96;87.47;92.9
97;87.23;99.5
98;88.13;93.2
99;93.63;99.87
100;88.23;95.27
101;89.03;100.97
102;89.8;96.83
103;87.8;104.17
104;89.87;98.47
105;88.83;105.3
106;91.53;99.27
107;90.17;106.97
108;91.43;100.1
109;89.23;105.17
110;92.83;99.2
111;91.23;107.0
112;93.4;102.87
113;91.43;110.17
114;94.2;103.47
115;94.3;112.13
116;96.8;105.73
117;93.43;112.63
118;97.5;106.47
119;94.73;113.17
120;97.9;107.17
121;98.0;113.2
122;100.17;108.4
123;98.03;115.93
124;105.83;111.8
125;100.47;116.73
126;104.57;112.47
127;105.33;118.97
128;107.3;302.53
129;154.43;119.43
130;131.07;118.27
131;124.0;123.3
132;140.03;119.97
133;121.2;125.07
134;120.7;121.0
135;119.4;125.6
136;118.47;122.8
137;116.93;126.7
138;120.7;123.8
139;121.53;130.23
140;124.0;125.93
141;123.73;130.9
142;123.6;125.57
143;126.2;131.1
144;126.1;125.67
145;128.8;132.37
146;129.9;127.6
147;140.97;133.53
148;160.97;130.87
149;136.6;139.5
150;140.0;131.83
151;137.87;136.57
152;139.53;132.9
153;138.83;138.93
154;137.87;131.9
155;138.3;139.2
156;139.33;137.23
157;140.0;140.57
158;142.7;136.57
159;140.4;144.2
160;144.57;139.83
161;143.2;144.83
162;142.87;139.27
163;143.23;148.03
164;148.27;141.37
165;145.27;147.4
166;144.93;143.73
167;147.63;148.73
168;149.63;144.07
169;149.7;148.4
170;152.67;143.4
171;152.3;150.37
172;154.63;146.4
173;156.3;152.1
174;158.3;146.73
175;157.63;154.07
176;159.63;148.7
177;160.27;153.37
178;162.0;149.0
179;164.03;155.7
180;168.07;151.27
181;168.7;154.57
182;174.67;152.5
183;184.67;162.27
184;194.0;160.23
185;214.73;159.3
186;179.87;157.7
187;172.2;158.73
188;178.97;158.3
189;179.03;158.93
190;184.67;158.43
191;183.7;160.73
192;187.1;161.3
193;186.07;162.23
194;188.43;162.27
195;185.4;162.57
