n;Lista wiązana;Tablica dynamiczna
3;42;40
103;146;114
203;201;190
303;331;281
403;431;357
503;532;445
603;648;521
703;794;605
803;907;686
903;1035;773
1003;1200;854
1103;1248;936
1203;1444;1017
1303;1567;1106
1403;1693;1178
1503;1784;1258
1603;1926;1360
1703;2077;1443
1803;2229;1511
1903;2323;1587
2003;2420;1676
2103;2572;1764
2203;2699;1840
2303;2761;1920
2403;4023;2010
2503;3058;2095
2603;3170;2173
2703;3295;2259
2803;3309;2346
2903;3498;2430
3003;3622;2502
3103;3794;2592
3203;3851;2688
3303;3945;2765
3403;4091;2847
3503;4222;2914
3603;4300;2996
3703;4425;3090
3803;4577;3163
3903;4704;3253
4003;4754;3335
4103;4898;3422
4203;5001;3505
4303;5053;3586
4403;5288;3664
4503;5348;3740
4603;5494;3829
4703;5685;3921
4803;5737;4001
4903;5779;4065
5003;7295;4156
5103;6157;4250
5203;6219;4324
5303;6263;4394
5403;6564;4483
5503;6524;4579
5603;6626;4645
5703;6739;4736
5803;6945;4830
5903;7154;4902
6003;7160;4962
6103;7258;5063
6203;7359;5135
6303;7479;5240
6403;7628;5312
6503;7981;5414
6603;7928;5482
6703;7969;7052
6803;8236;5643
6903;8234;6578
7003;8410;5807
7103;8488;5880
7203;8736;5968
7303;8878;6056
7403;8928;6143
7503;8874;6205
7603;9062;6277
7703;9209;6381
7803;9358;6460
7903;9528;6562
8003;9576;6640
8103;9679;6715
8203;9871;6827
8303;9958;6885
8403;10066;6972
8503;10098;7060
8603;10190;7122
8703;10419;7208
8803;10620;7314
8903;10682;7359
9003;10798;7481
9103;10760;7541
9203;11828;7638
9303;11120;7714
9403;11166;7796
9503;11316;7852
9603;11439;7983
9703;11555;8049
9803;11780;8139
9903;11956;8209
10003;11930;8308
10103;12011;8374
10203;12125;8453
10303;12187;8553
10403;12386;8607
10503;12470;8713
10603;12526;8789
10703;12767;8880
10803;12874;8944
10903;12908;9034
11003;13136;9129
11103;13438;9205
11203;14020;9275
11303;13498;9374
11403;13634;9392
11503;13704;9526
11603;13853;9606
11703;13863;9700
11803;13909;9781
11903;15201;9865
12003;14182;9931
12103;14403;10014
12203;14840;10092
12303;14613;10185
12403;14930;10317
12503;14816;10355
12603;15049;10459
12703;15023;10552
12803;15984;10574
12903;15302;10682
13003;16400;10778
13103;15789;10865
13203;15753;10917
13303;15777;11003
13403;15910;11083
13503;16130;11198
13603;16297;11268
13703;16211;11366
13803;16508;11405
13903;16454;11493
14003;16851;11607
14103;16778;11692
14203;16837;11762
14303;17662;11832
14403;17140;11918
14503;17160;11986
14603;17252;12085
14703;18372;12175
14803;17708;12268
14903;17872;12349
15003;17680;12412
15103;18191;12516
15203;18175;12595
15303;18284;12647
15403;18376;12761
15503;19363;12845
15603;18542;12923
15703;18557;12983
15803;18936;13084
15903;19067;13869
16003;18998;13271
16103;19273;13319
16203;20509;13447
16303;19269;13496
16403;18073;13584
16503;19943;13684
16603;19664;13740
16703;19922;13845
16803;19905;14650
16903;20020;13959
17003;20371;14116
17103;20547;14158
17203;20224;14240
17303;20598;14332
17403;20845;14411
17503;20834;14475
17603;21079;14573
17703;22747;14671
17803;21156;14740
17903;21436;14818
18003;21270;14936
18103;21625;15011
18203;21848;15053
18303;21697;15151
18403;21790;16654
18503;19673;15277
18603;22093;15406
18703;22245;15460
18803;22462;15557
18903;23648;15687
19003;22496;15709
19103;23769;15838
19203;22978;15944
19303;22889;15988
19403;23132;16067
19503;23098;16179
19603;23161;16209
19703;23425;16329
19803;23594;16393
19903;23491;16476
20003;24015;16564
20103;23576;16636
20203;23923;16715
20303;23999;17564
20403;24113;16879
20503;24394;16988
20603;24688;17066
20703;25677;17162
20803;24477;17232
20903;24898;17345
21003;25039;18511
21103;25918;17483
21203;25404;17537
21303;25119;17688
21403;26159;17716
21503;25930;17814
21603;25593;17887
21703;26143;17971
21803;25779;18059
21903;26120;18169
22003;26169;18222
22103;26118;18320
22203;26429;18378
22303;26414;18485
22403;26536;18569
22503;26839;18629
22603;27034;18732
22703;27758;19548
22803;27373;18866
22903;27158;18946
23003;27891;19068
23103;27587;19151
23203;27708;19227
23303;27720;20036
23403;27959;19404
23503;28075;19464
23603;28254;19574
23703;29012;19654
23803;28649;19703
23903;28531;19785
24003;28657;19881
24103;28918;19949
24203;29227;20038
24303;29289;20175
24403;29496;20187
24503;29333;20265
24603;30156;20385
24703;30517;20455
24803;29711;21334
24903;30353;20620
25003;30281;20658
25103;30333;20814
25203;30638;20824
25303;30351;20985
25403;30431;21752
25503;30803;21105
25603;31101;21238
25703;31051;22045
25803;31246;21411
25903;31390;21489
26003;31439;21561
26103;31577;21597
26203;31715;21727
26303;32956;21780
26403;31587;21858
26503;31888;21968
26603;31892;22039
26703;31927;22113
26803;32958;22217
26903;32482;22319
27003;32749;22370
27103;32548;22464
27203;32632;22526
27303;32851;22620
27403;33929;22727
27503;33094;22789
27603;33443;24110
27703;33706;22954
27803;34515;23018
27903;33508;23817
28003;33680;23192
28103;33672;23279
28203;33837;23391
28303;34144;23459
28403;34202;23524
28503;34206;23582
28603;34858;24483
28703;34649;23767
28803;34987;23877
28903;34848;23993
29003;35254;23992
29103;35380;23684
29203;38035;24224
29303;35763;24306
29403;35155;25087
29503;37026;24417
29603;35822;24543
29703;35761;24595
29803;35779;24691
29903;36257;24750
30003;36295;24900
30103;36452;25006
30203;36739;25023
30303;36979;25107
30403;37678;25211
30503;37046;25280
30603;37784;25354
30703;36969;25432
30803;37481;25532
30903;38766;26377
31003;38037;25679
31103;38043;26732
31203;35101;26209
31303;35567;26514
31403;35715;26215
31503;35697;26193
31603;35944;26400
31703;36050;26516
31803;36378;26576
31903;37407;27417
32003;36464;26785
32103;36323;26767
32203;36520;26823
32303;37325;27817
32403;37166;27196
32503;38958;27611
32603;37903;27870
32703;38806;27654
32803;39157;27666
32903;37929;27971
33003;38272;33157
33103;39418;27568
33203;37818;27565
33303;41860;27648
33403;43086;27702
33503;41730;27780
33603;42135;27832
33703;43578;27915
33803;43293;28067
33903;42593;28091
34003;43799;28199
34103;42986;28292
34203;42960;28384
34303;43036;29247
34403;43279;28521
34503;43371;32976
34603;41342;28693
34703;43935;29536
34803;43975;28830
34903;43472;45001
35003;44465;28996
35103;44182;29073
35203;45615;29249
35303;45306;29281
35403;44579;30126
35503;45330;29446
35603;45633;29610
35703;44652;29592
35803;44671;29673
35903;44776;33339
36003;45948;29863
36103;47118;29946
36203;45940;30010
36303;45645;30104
36403;45537;30212
36503;46014;30255
36603;46729;30375
36703;46500;30437
36803;46129;31332
36903;46339;30603
37003;46462;31102
37103;48238;30716
37203;48013;30826
37303;50383;31714
37403;48529;30973
37503;48463;31111
37603;48940;31168
37703;49468;31278
37803;49213;31296
37903;49025;31439
38003;49299;31517
38103;49621;31593
38203;50275;31732
38303;49799;31764
38403;50710;31818
38503;50020;31940
38603;50817;32809
38703;50166;32103
38803;51079;32177
38903;50502;32257
39003;50622;32374
39103;50784;32438
39203;50833;32490
39303;50726;32570
39403;51084;33423
39503;51788;32737
39603;51463;32811
39703;51511;32946
39803;53044;32996
39903;52338;33106
40003;51744;33152
40103;51898;33249
40203;52422;33303
40303;52404;33391
40403;52709;34276
40503;52659;33590
40603;53144;33634
40703;52581;33771
40803;54037;34591
40903;53313;34682
41003;53656;34003
41103;53466;34077
41203;50455;34539
41303;52988;34268
41403;53552;35105
41503;54680;34404
41603;54262;34501
41703;54132;34537
41803;55521;34928
41903;51800;34752
42003;56660;34830
42103;56351;34896
42203;49809;35368
42303;50088;36090
42403;50598;39980
42503;50445;35376
42603;51254;35655
42703;52751;35392
42803;56433;35440
42903;55713;35579
43003;55910;35671
43103;56169;35693
43203;57774;35811
43303;56233;35920
43403;56885;35994
43503;56859;36092
43603;57096;36199
43703;57541;36277
43803;57004;38019
43903;57302;39580
44003;57401;39661
44103;57335;39791
44203;57548;40664
44303;59490;39907
44403;57897;40102
44503;53042;40941
44603;58015;40243
44703;58248;43353
44803;58828;43229
44903;58232;43317
45003;59121;43429
45103;59648;43460
45203;59067;44588
45303;60417;44541
45403;59077;43775
45503;59123;43899
45603;59801;43934
45703;59970;44068
45803;61152;44204
45903;59964;44218
46003;59799;44409
46103;63475;43602
46203;60447;45276
46303;60887;45346
46403;60806;44309
46503;62372;44816
46603;61292;44557
46703;61463;44505
46803;63786;45127
46903;63449;45288
47003;68290;45398
47103;61798;45458
47203;62775;45597
47303;61683;46466
47403;61820;45745
47503;61996;45804
47603;62514;46845
47703;62324;46020
47803;63213;46153
47903;63227;46177
48003;63381;46404
48103;63339;46382
48203;62665;46450
48303;63883;47555
48403;63534;46761
48503;63500;47064
48603;63502;48529
48703;64547;47602
48803;65569;47676
48903;65400;49370
49003;65485;47875
49103;66504;47999
49203;65942;48039
49303;66723;48212
49403;65954;48266
49503;66990;48421
49603;66255;48481
49703;66715;48541
49803;68503;48687
49903;66506;48755
