n;Lista wiązana;Tablica dynamiczna
0;117.27;254.17
1;40.07;309.8
2;27.37;36.03
3;28.03;26.03
4;26.67;181.07
5;26.1;24.03
6;27.07;22.67
7;97.77;22.7
8;32.7;77.57
9;26.1;22.73
10;41.73;22.73
11;77.5;23.7
12;79.77;22.77
13;69.13;23.8
14;55.77;22.33
15;51.2;22.73
16;48.73;136.57
17;54.77;22.07
18;45.87;23.67
19;40.1;22.33
20;33.7;22.33
21;175.0;22.0
22;48.0;24.77
23;57.33;24.47
24;60.87;22.43
25;60.9;21.73
26;60.8;23.03
27;87.1;24.47
28;42.4;21.7
29;42.53;22.73
30;38.37;23.07
31;34.73;22.4
32;33.13;114.83
33;83.83;21.4
34;51.2;25.07
35;60.17;24.0
36;39.07;24.37
37;41.7;23.43
38;51.43;22.0
39;93.9;22.07
40;35.43;23.33
41;37.37;22.33
42;39.4;22.7
43;35.4;22.77
44;38.03;22.73
45;35.13;22.33
46;33.4;24.37
47;35.7;22.77
48;38.8;23.03
49;38.73;23.37
50;43.13;24.37
51;32.7;23.7
52;38.43;23.03
53;39.07;22.4
54;38.7;23.8
55;34.13;23.33
56;35.03;22.37
57;36.07;22.7
58;35.07;23.37
59;35.4;22.67
60;34.67;24.03
61;34.73;24.0
62;35.73;22.7
63;34.73;22.33
64;33.07;156.27
65;73.17;24.67
66;52.8;24.0
67;50.77;23.33
68;70.1;23.4
69;37.07;22.8
70;35.77;22.43
71;38.43;23.37
72;34.13;22.33
73;35.7;22.67
74;36.03;22.73
75;50.07;24.03
76;69.8;22.67
77;36.37;21.7
78;35.4;23.43
79;39.07;23.73
80;33.4;23.47
81;35.8;23.03
82;34.47;22.67
83;34.03;23.4
84;36.67;20.67
85;35.7;22.7
86;36.07;23.7
87;35.37;22.03
88;35.37;22.03
89;38.43;21.7
90;38.07;23.37
91;64.57;22.7
92;85.93;22.73
93;39.4;22.67
94;38.4;22.7
95;37.37;20.7
96;35.7;22.73
97;34.4;23.4
98;36.37;22.37
99;35.73;21.67
100;35.1;23.07
101;35.7;23.7
102;35.1;22.67
103;34.7;22.73
104;35.0;23.7
105;33.4;23.4
106;35.4;23.03
107;36.43;21.77
108;35.03;22.07
109;32.4;24.7
