n;Lista wiązana;Tablica dynamiczna
0;126.87;295.87
1;40.37;445.5
2;27.5;48.37
3;27.7;41.07
4;27.07;273.37
5;28.0;45.77
6;25.33;45.13
7;95.2;45.07
8;32.8;104.8
9;28.67;48.83
10;96.57;50.77
11;96.5;52.13
12;71.87;54.13
13;58.07;53.43
14;54.77;54.1
15;46.77;57.47
16;54.5;192.37
17;52.43;60.4
18;46.47;65.1
19;37.4;68.47
20;36.77;69.07
21;57.5;67.2
22;52.07;69.37
23;47.13;71.8
24;53.6;74.13
25;51.1;75.43
26;99.6;77.17
27;44.8;79.27
28;36.73;83.87
29;38.0;85.7
30;37.67;87.2
31;37.73;88.53
32;37.67;217.4
33;89.37;90.2
34;45.2;94.5
35;35.1;98.27
36;49.4;97.23
37;80.73;99.17
38;35.43;104.17
39;35.43;107.97
40;35.4;106.53
41;36.73;112.53
42;43.43;111.53
43;53.03;119.37
44;47.1;116.13
45;66.7;117.83
46;35.73;119.6
47;37.0;122.2
48;47.1;122.2
49;36.4;124.33
50;34.8;127.9
51;49.4;129.27
52;44.43;132.9
53;70.13;133.83
54;36.77;136.03
55;35.4;137.6
56;35.67;139.23
57;34.4;141.23
58;38.0;143.73
59;35.4;147.3
60;35.37;147.27
61;35.7;149.9
62;34.73;151.8
63;36.8;153.97
64;40.7;332.23
65;216.03;156.6
66;54.8;156.8
67;37.07;161.4
68;35.0;164.2
69;50.7;166.5
70;65.03;167.7
71;36.1;169.13
72;37.07;171.57
73;50.73;174.0
74;37.07;174.33
75;35.03;177.57
76;38.37;178.73
77;47.73;292.8
78;109.23;183.6
79;34.83;186.2
80;37.1;187.33
81;36.83;189.73
82;35.47;192.47
83;35.0;194.57
84;35.37;195.6
85;35.1;197.7
86;35.4;200.73
87;34.73;202.73
88;35.4;204.4
89;35.43;206.47
90;35.03;208.57
91;35.73;211.53
92;36.07;215.17
93;35.73;215.77
94;34.73;219.0
95;36.33;217.7
96;34.67;221.13
97;38.8;224.17
98;35.83;224.57
99;35.1;226.53
100;35.37;229.53
101;35.67;229.93
102;35.73;231.33
103;36.4;234.03
104;38.03;236.77
105;53.13;237.73
106;56.8;238.73
107;107.2;243.83
108;42.4;245.8
109;38.07;245.93
110;37.1;248.03
111;37.7;250.57
112;35.7;253.47
113;35.77;254.73
114;35.4;257.33
115;35.43;258.37
116;35.33;261.47
117;35.67;260.43
118;36.03;264.8
119;34.03;266.8
120;34.07;269.13
121;34.83;272.13
122;33.47;274.83
123;35.07;276.8
124;35.4;278.17
125;36.07;278.57
126;35.37;280.87
127;34.0;283.17
128;35.1;507.87
129;73.87;289.13
130;66.43;290.37
131;52.07;290.0
132;84.17;292.57
133;36.77;293.63
134;35.77;297.27
135;37.03;301.23
136;36.37;304.73
137;37.67;305.07
138;35.07;307.37
139;35.17;309.53
140;36.7;309.6
141;36.1;314.57
142;34.77;314.53
143;35.2;428.67
144;34.07;318.97
145;34.77;321.3
146;37.7;322.33
147;39.67;325.33
148;51.73;327.67
149;38.07;329.4
150;37.43;330.6
151;37.37;334.2
152;40.13;331.6
153;131.9;336.9
154;38.7;335.73
155;38.03;340.4
156;36.37;342.4
157;34.8;345.27
158;36.77;347.93
159;36.13;349.87
160;36.0;347.33
161;35.73;353.1
162;34.37;355.07
163;35.03;355.7
164;35.43;357.3
165;35.4;359.53
166;36.47;360.9
167;36.07;364.4
168;36.1;363.97
169;35.73;368.73
170;35.07;371.0
171;37.07;371.7
172;36.43;376.07
173;34.73;378.4
174;36.07;491.7
175;35.37;380.7
176;34.33;383.7
177;37.07;385.37
178;34.73;388.53
179;36.73;389.43
180;34.7;391.13
181;35.73;393.7
182;48.4;397.07
183;43.1;396.5
184;90.87;401.07
185;39.07;401.37
186;38.37;402.77
187;39.2;406.37
188;39.77;409.73
189;36.43;410.97
190;35.17;412.4
191;36.17;413.07
192;35.33;413.77
193;36.47;418.73
194;35.0;419.77
195;33.7;424.0
196;36.4;425.83
197;38.8;427.43
198;39.73;429.2
199;48.37;431.2
200;46.5;433.13
201;37.4;434.57
202;36.37;436.23
203;36.7;437.5
204;34.77;442.13
205;35.4;446.2
206;39.03;445.53
207;37.7;446.57
208;34.67;450.9
209;35.4;452.23
210;36.03;453.83
211;34.73;452.2
212;35.33;456.47
213;36.4;458.2
214;36.7;460.0
215;35.43;460.2
216;37.73;464.2
217;35.37;467.23
218;36.37;469.53
219;36.67;469.6
220;35.87;475.13
221;35.07;477.83
222;34.73;476.67
223;35.03;478.2
224;38.47;480.8
225;36.37;483.6
226;36.1;482.9
227;35.0;487.97
228;36.4;490.3
229;34.47;491.57
230;36.7;494.53
231;36.77;494.97
232;35.1;497.57
233;35.07;500.63
234;34.7;502.97
235;35.37;504.37
236;36.13;508.3
237;34.37;509.2
238;35.77;510.9
239;34.77;513.7
240;34.13;516.03
241;34.67;513.67
242;36.07;516.33
243;34.47;519.3
244;35.8;521.27
245;35.7;524.63
246;35.4;526.7
247;35.03;530.07
248;37.1;531.7
249;34.07;644.5
250;33.4;534.93
251;34.03;538.0
252;35.13;541.33
253;36.7;541.73
254;35.4;546.4
255;35.77;545.93
256;34.8;761.77
257;95.57;544.3
258;43.5;549.3
259;46.0;549.7
260;46.43;554.03
261;40.67;557.43
262;35.37;559.7
263;36.03;560.07
264;36.37;563.07
265;35.67;563.7
266;35.47;567.63
267;36.07;569.87
268;35.43;570.37
269;33.77;573.2
270;34.73;574.43
271;35.77;577.37
272;35.73;581.03
273;36.03;583.47
274;35.07;583.17
275;36.07;588.43
276;35.03;590.2
277;35.0;591.13
278;34.43;592.5
279;35.33;593.1
280;37.03;595.23
281;54.4;597.83
282;35.33;601.1
283;35.47;602.03
284;34.37;603.77
285;34.33;606.5
286;36.7;609.17
287;35.03;607.73
288;46.13;609.1
289;67.37;609.2
290;44.43;612.4
291;53.73;615.47
292;48.37;619.53
293;43.5;624.43
294;37.37;625.57
295;36.7;627.9
296;34.5;627.2
297;35.7;630.97
298;36.0;632.57
299;36.07;636.27
300;35.73;637.63
301;35.33;638.63
302;36.0;641.9
303;36.73;759.5
304;35.5;642.53
305;35.1;645.47
306;34.8;648.9
307;35.4;649.57
308;36.37;651.17
309;39.1;653.9
310;38.43;655.47
311;39.03;656.63
312;38.13;661.17
313;35.07;666.33
314;35.73;666.67
315;38.07;664.93
316;35.1;666.27
317;35.43;670.93
318;36.03;673.67
319;37.43;677.17
320;34.67;674.67
321;34.73;676.53
322;34.0;681.7
323;35.13;683.87
324;35.67;680.4
325;35.37;685.97
326;34.37;690.63
327;36.1;696.63
328;35.0;699.63
329;34.7;698.0
330;37.1;694.97
331;35.67;705.0
332;33.8;705.2
333;34.7;705.13
334;35.43;708.37
335;34.77;708.27
336;35.13;838.27
337;35.73;714.0
