n;Lista wiązana;Tablica dynamiczna
0;212;411
100;70;203
200;34;375
300;30;554
400;34;730
500;38;895
600;32;1086
700;36;1343
800;36;1431
900;30;1616
1000;32;1794
1100;32;1965
1200;30;2150
1300;32;2316
1400;34;2499
1500;32;2676
1600;30;2851
1700;30;3005
1800;30;3208
1900;32;3395
2000;30;3547
2100;30;3732
2200;32;3908
2300;34;4091
2400;34;4258
2500;28;4448
2600;30;4627
2700;30;4801
2800;32;4976
2900;28;5143
3000;32;5328
3100;30;5490
3200;34;5791
3300;30;5840
3400;28;6030
3500;34;6203
3600;36;6370
3700;30;6558
3800;30;6801
3900;36;6922
4000;28;7092
4100;32;7267
4200;32;7444
4300;36;7580
4400;30;7795
4500;30;7972
4600;28;8211
4700;32;8944
4800;30;8518
4900;30;9054
5000;32;8857
5100;30;9056
5200;36;9200
5300;30;9375
5400;30;9578
5500;30;9716
5600;42;9533
5700;34;10067
5800;30;10268
5900;30;11068
6000;28;10585
6100;28;10807
6200;30;10966
6300;32;11130
6400;34;11353
6500;28;11515
6600;30;11704
6700;30;11894
6800;30;12051
6900;32;12232
7000;30;12400
7100;32;12573
7200;32;12688
7300;36;12920
7400;32;13141
7500;32;13246
7600;40;13203
7700;36;13589
7800;30;14318
7900;58;13936
8000;36;14146
8100;30;14353
8200;34;14524
8300;32;14716
8400;38;14873
8500;30;15015
8600;34;15170
8700;28;15405
8800;34;15585
8900;34;15734
9000;28;15925
9100;28;16127
9200;40;16288
9300;38;16462
9400;74;16649
9500;36;17065
9600;36;16980
9700;32;17213
9800;34;17382
9900;36;17528
10000;34;18587
10100;34;17857
10200;34;18042
10300;34;18233
10400;32;18402
10500;34;18592
10600;32;18781
10700;32;18932
10800;34;20354
10900;30;19307
11000;34;19480
11100;30;19663
11200;30;19823
11300;54;23767
11400;34;20171
11500;30;20320
11600;34;20504
11700;34;20697
11800;34;20888
11900;36;20966
12000;32;21204
12100;32;21424
12200;32;21529
12300;40;21751
12400;28;21878
12500;34;22075
12600;34;22270
12700;34;23083
12800;32;22688
12900;58;21484
13000;36;22958
13100;38;23378
13200;30;23352
13300;38;23929
13400;28;23693
13500;30;23851
13600;34;24079
13700;36;24222
13800;32;24342
13900;30;24561
14000;30;24704
14100;36;24932
14200;36;25065
14300;42;25264
14400;32;25477
14500;30;25602
14600;34;25825
14700;30;26009
14800;32;26481
14900;32;26305
15000;32;26570
15100;50;26710
15200;30;26855
15300;32;27859
15400;32;27895
15500;32;28019
15600;32;28148
15700;32;27736
15800;32;27885
15900;32;28070
16000;32;27568
16100;34;28475
16200;32;27994
16300;36;29136
16400;46;28178
16500;38;29190
16600;36;29313
16700;38;28825
16800;36;29731
16900;34;29759
17000;38;30705
17100;34;30289
17200;54;30341
17300;40;30514
17400;56;30560
17500;54;31552
17600;54;30904
17700;62;32024
17800;36;31727
17900;34;32121
18000;36;31281
18100;34;31614
18200;38;31970
