n;Lista wiązana;Tablica dynamiczna
1;62.27;33.67
2;241.87;43.4
3;37.4;35.77
4;32.13;58.83
5;39.03;27.07
6;36.7;33.17
7;40.03;38.03
8;35.67;75.47
9;41.03;28.4
10;38.73;36.33
11;40.2;33.4
12;37.03;36.4
13;40.73;33.53
14;43.4;40.37
15;64.77;46.07
16;40.2;72.83
17;64.8;36.4
18;45.73;42.87
19;67.43;38.07
20;44.33;45.4
21;63.2;38.03
22;48.43;45.4
23;147.87;38.67
24;47.03;47.43
25;51.8;41.43
26;53.0;48.13
27;55.8;44.43
28;52.17;49.73
29;57.8;51.43
30;61.37;51.9
31;60.07;60.43
32;58.4;103.5
33;73.8;51.53
34;64.83;53.33
35;63.43;49.07
36;61.4;55.17
37;66.17;52.1
38;70.8;57.4
39;66.87;51.47
40;64.43;58.37
41;68.8;55.13
42;72.77;60.73
43;75.53;54.9
44;68.4;62.27
45;71.03;61.1
46;80.53;64.07
47;86.3;58.57
48;72.87;65.7
49;114.47;58.4
50;85.47;66.17
51;101.23;64.2
52;81.5;69.07
53;79.8;68.07
54;85.03;71.63
55;87.57;65.8
56;80.73;72.8
57;81.47;70.87
58;86.43;74.87
59;83.83;70.4
60;84.5;77.4
61;88.83;70.47
62;102.87;83.2
63;96.47;85.53
64;87.47;656.67
65;93.9;76.07
66;94.47;84.8
67;92.53;78.53
68;90.87;85.43
69;93.13;80.5
70;98.17;88.17
71;95.87;81.1
72;93.87;189.6
73;96.07;83.57
74;101.9;89.43
75;103.23;84.93
76;98.23;93.47
77;100.57;86.5
78;104.5;95.5
79;103.73;86.83
80;102.87;96.2
81;105.27;97.87
82;119.23;98.97
83;115.93;99.93
84;107.27;101.87
85;108.9;96.43
86;113.53;103.87
87;112.87;95.5
88;115.53;104.53
89;112.9;99.53
90;118.23;107.87
91;114.57;102.23
92;115.6;111.53
93;115.97;105.5
94;122.87;111.0
95;120.2;104.53
96;124.3;113.8
97;122.87;106.53
98;127.83;113.87
99;123.47;109.2
100;126.03;116.33
101;125.17;210.17
102;132.5;118.27
103;129.8;114.23
104;138.2;118.43
105;131.2;112.33
106;137.83;120.7
107;136.77;114.53
108;141.3;123.27
109;135.93;117.97
110;143.37;123.6
111;138.4;117.27
112;145.33;126.3
113;143.0;122.93
114;149.0;127.57
115;145.3;123.3
