n;Lista wiązana;Tablica dynamiczna
100;120;106
200;242;216
300;348;360
400;468;506
500;603;623
600;715;593
700;865;653
800;1012;739
900;1184;811
1000;1294;850
1100;1429;998
1200;1528;1070
1300;1649;1218
1400;1807;1424
1500;1901;1456
1600;2007;1487
1700;2132;1557
1800;2292;1629
1900;2348;1699
2000;2482;1701
2100;2609;1929
2200;2763;1893
2300;2843;1966
2400;2971;2086
2500;3096;2198
2600;3182;2158
2700;3344;2296
2800;3509;2336
2900;3603;2432
3000;4358;2459
3100;3895;2531
3200;3993;2665
3300;4078;2705
3400;4186;2753
3500;4342;2827
3600;4406;2869
3700;4516;3036
3800;4677;3094
3900;4757;3134
4000;4920;3238
4100;5204;3276
4200;5326;3350
4300;5438;3479
4400;5569;3457
4500;5701;3607
4600;5841;3659
4700;5963;3759
4800;6072;3891
4900;6154;3941
5000;6344;3983
5100;6454;4058
5200;6617;4102
5300;6705;4218
5400;6831;4364
5500;6991;4382
5600;7063;4458
5700;7176;4553
5800;7304;4649
5900;8160;4701
6000;7536;4753
6100;7697;4945
6200;7817;5006
6300;7977;5022
6400;8080;5051
6500;8180;5102
6600;8330;5220
6700;8376;5322
6800;8547;5342
6900;8673;5430
7000;8811;5591
7100;8951;5625
7200;9045;5733
7300;9176;5681
7400;9322;5958
7500;9423;5903
7600;9512;6569
7700;9701;6094
7800;9821;6138
7900;9906;6242
8000;10063;6994
8100;10198;6344
8200;9799;6577
8300;10436;6563
8400;10588;6565
8500;10695;6671
8600;10899;6733
8700;11015;6765
8800;11164;6823
8900;11198;6981
9000;11362;7554
9100;11403;7067
9200;11521;7082
9300;11604;7198
9400;11831;7294
9500;11920;7336
9600;12005;7437
9700;12192;7484
9800;12234;7537
9900;12372;7731
10000;12506;7783
10100;12611;7883
10200;12745;8076
10300;12913;8074
10400;13041;8106
10500;13116;8144
10600;13288;8258
10700;13382;8955
10800;13519;8310
10900;13741;8440
11000;13787;8514
11100;13913;8531
11200;14043;8625
11300;14218;15420
11400;14312;8755
11500;14414;8831
11600;15176;8975
11700;14656;9040
11800;15474;9082
11900;14883;9224
12000;15001;9374
12100;15169;9340
12200;15224;9372
12300;15438;9460
12400;15557;9468
12500;15635;9633
12600;15843;9643
12700;16592;9685
12800;16675;9821
12900;16190;9915
13000;17023;10023
13100;17078;10076
13200;16614;10867
