n;Lista wiązana;Tablica dynamiczna
1;42.03;41.7
2;40.83;41.1
3;37.1;24.37
4;69.77;52.17
5;44.13;25.33
6;45.33;24.73
7;47.4;23.73
8;55.17;60.4
9;51.0;25.83
10;55.37;25.1
11;75.8;24.33
12;76.2;25.37
13;123.9;24.73
14;87.83;25.03
15;67.47;23.4
16;102.33;52.47
17;91.87;24.33
18;72.47;23.47
19;74.17;23.7
20;77.57;24.37
21;80.2;22.0
22;87.77;24.07
23;84.9;23.4
24;101.5;23.37
25;102.13;25.17
26;130.17;23.7
27;93.47;24.03
28;94.23;23.67
29;96.4;24.37
30;98.5;24.4
31;101.17;23.67
32;102.17;60.4
33;104.57;23.0
34;107.17;23.07
35;107.63;25.43
36;112.47;25.0
37;111.57;23.33
38;114.9;22.37
39;117.87;23.33
40;117.23;23.8
41;119.9;24.07
42;122.93;23.33
43;129.6;24.0
44;134.63;24.37
45;132.93;25.03
46;134.5;24.0
47;135.87;24.07
48;138.1;25.77
49;141.03;24.67
50;142.13;22.37
51;245.8;23.67
52;146.93;23.33
53;149.4;24.73
54;150.37;24.33
55;151.13;24.4
56;154.93;23.67
57;157.4;24.33
58;159.3;23.4
59;160.73;25.0
60;163.23;23.7
61;165.47;24.33
62;167.63;24.47
63;179.37;24.03
64;170.07;741.1
65;171.6;22.03
66;173.37;23.67
67;175.7;22.67
68;176.93;23.33
69;178.67;23.37
70;179.73;25.37
71;183.73;23.37
72;184.67;25.4
73;187.27;23.43
74;206.7;24.73
75;191.7;23.67
76;193.7;24.1
77;196.0;23.33
78;199.33;22.43
79;198.7;23.4
80;200.4;23.03
81;203.13;24.0
82;204.33;24.0
83;207.03;23.7
84;209.53;24.37
85;210.67;25.07
86;213.03;23.0
87;213.73;24.03
88;224.67;23.0
89;218.97;23.37
90;221.2;24.37
91;224.07;23.03
92;227.2;23.4
93;216.9;25.1
94;229.27;24.03
95;235.33;25.03
96;237.63;25.03
97;241.2;23.7
98;242.4;22.0
99;246.37;24.07
100;246.07;23.4
101;248.0;23.4
102;251.1;23.37
103;250.47;23.67
104;253.53;23.33
105;254.43;24.03
106;257.6;24.07
107;259.93;24.03
108;261.87;23.7
109;263.77;23.67
110;264.8;23.4
111;266.47;21.73
112;270.83;24.33
113;272.43;23.33
114;274.63;22.73
115;276.27;24.0
116;278.3;24.67
117;278.9;25.03
118;282.27;22.0
119;282.37;23.4
120;285.37;23.73
121;287.4;24.03
122;289.9;23.33
123;292.33;23.33
124;295.37;22.33
125;296.73;23.33
126;297.73;24.13
127;309.77;23.4
128;302.03;1055.67
129;305.0;26.0
130;317.97;23.7
131;321.3;23.37
132;328.9;25.1
133;312.6;23.03
134;315.97;23.33
135;317.5;23.03
136;320.97;24.33
137;320.93;22.07
138;324.07;24.03
139;324.53;24.1
140;328.6;23.37
141;328.6;23.4
142;331.77;24.37
143;335.3;25.03
144;337.3;24.07
145;336.83;25.77
146;338.97;23.7
147;341.63;23.13
148;344.03;24.33
149;345.3;23.03
150;349.33;23.67
151;349.8;23.67
152;353.03;23.8
153;353.93;23.43
154;357.07;23.67
155;358.8;24.33
156;361.37;24.67
157;363.57;24.1
158;467.23;25.1
159;366.4;24.03
160;369.97;24.1
161;372.77;22.67
162;372.8;24.03
163;376.67;24.37
164;377.37;24.0
165;378.77;24.03
166;388.37;23.67
167;383.7;24.67
168;386.1;24.33
169;388.17;23.0
170;390.13;24.7
171;391.4;22.1
172;393.4;24.43
173;394.77;24.67
174;396.73;24.67
175;399.63;23.47
176;403.17;23.7
177;405.13;23.7
178;406.17;25.4
