n;Lista wiązana;Tablica dynamiczna
100;264;24
200;489;24
300;723;20
400;946;22
500;1176;24
600;1414;24
700;1649;24
800;1898;26
900;2162;20
1000;2425;22
1100;2679;22
1200;2916;24
1300;3146;26
1400;3377;24
1500;3601;20
1600;3840;22
1700;4065;20
1800;4291;24
1900;4521;24
2000;4754;26
2100;4978;22
2200;5207;22
2300;5432;24
2400;5668;22
2500;5910;24
2600;6131;24
2700;6385;22
2800;6632;22
2900;6889;20
3000;7171;22
3100;7409;22
3200;7658;24
3300;7865;26
3400;8079;24
3500;8281;22
3600;8490;24
3700;8686;24
3800;8911;24
3900;9147;22
4000;9340;22
4100;9550;20
4200;9791;22
4300;10027;22
4400;10280;22
4500;10504;22
4600;11338;20
4700;10945;24
4800;11194;26
4900;11414;20
5000;11661;20
5100;12505;22
5200;12094;28
5300;12346;24
5400;12569;22
5500;12815;22
5600;13038;24
5700;13256;20
5800;13491;26
5900;13727;28
6000;13939;24
6100;14172;22
6200;14403;22
6300;14625;22
6400;14864;22
6500;15110;26
6600;15327;22
6700;15574;24
6800;15814;24
6900;16016;22
7000;16235;24
7100;16473;28
7200;16669;20
7300;16920;22
7400;17802;28
7500;17345;24
7600;17617;20
7700;17867;26
7800;18034;22
7900;18295;24
8000;18547;24
8100;18820;28
8200;19021;24
8300;19249;24
8400;19460;22
8500;19678;20
8600;19869;22
8700;20131;24
8800;20344;24
8900;20546;26
9000;20818;24
9100;21045;26
9200;22061;24
9300;21498;20
9400;21731;20
9500;22643;20
9600;22200;20
9700;22382;22
9800;22613;20
9900;22911;24
10000;23721;26
10100;23346;22
10200;23633;24
10300;24767;30
10400;24057;26
10500;24322;24
10600;24491;24
10700;24801;22
10800;24978;24
10900;25937;24
11000;25381;22
11100;25673;26
11200;25938;22
11300;26158;22
11400;26370;24
11500;26607;20
11600;26792;22
11700;27074;24
11800;27287;24
11900;27491;26
12000;27758;24
12100;27998;26
12200;28227;28
12300;28496;22
12400;28716;30
12500;28962;26
12600;29187;24
12700;29439;28
12800;29664;26
12900;29842;28
13000;30293;26
13100;30404;26
13200;30642;26
13300;31556;28
13400;31093;26
13500;31762;32
13600;31618;26
13700;32526;24
13800;32111;24
13900;32406;24
14000;32598;22
14100;32885;28
14200;33075;22
14300;33302;24
14400;33588;30
14500;33851;28
14600;34649;28
14700;34190;28
14800;34456;28
14900;34608;28
15000;34919;20
15100;37721;30
15200;35515;30
15300;31738;28
15400;31566;26
15500;32093;26
15600;31600;26
15700;31712;26
15800;32111;26
15900;32624;24
16000;32554;24
16100;32740;22
16200;33510;90
16300;33268;68
16400;44673;28
16500;43747;20
16600;44204;22
16700;44343;22
16800;44799;28
16900;44948;28
17000;45184;30
17100;45355;26
17200;45754;28
17300;46720;28
17400;46010;22
17500;46555;32
17600;46666;26
17700;47351;24
17800;47173;26
17900;48205;26
18000;49506;30
18100;52464;32
18200;49694;30
18300;48380;26
18400;48580;26
18500;48985;30
18600;49161;28
18700;49353;28
18800;49761;26
18900;50827;38
19000;50239;24
19100;50454;28
19200;51478;24
19300;51943;26
19400;51232;54
19500;51643;30
19600;52717;24
19700;52194;28
19800;52477;24
19900;52717;34
20000;53008;24
20100;54168;28
20200;53595;28
20300;53823;28
20400;54024;28
20500;55100;26
20600;54553;26
20700;54881;26
20800;55741;28
20900;55371;30
21000;56126;30
21100;55930;28
21200;56228;28
21300;49884;26
21400;50122;30
21500;50354;32
21600;57067;28
21700;57355;30
21800;57610;30
21900;57929;26
22000;58251;24
22100;58417;24
22200;58824;24
22300;58950;32
22400;59237;30
22500;59608;28
22600;59792;30
22700;60099;22
22800;60586;24
22900;60392;30
23000;60790;22
23100;61017;26
23200;61414;24
23300;61767;74
23400;62027;24
23500;62174;26
23600;62495;28
23700;62871;28
23800;63931;30
23900;63359;26
24000;64235;26
24100;63819;26
24200;64034;24
24300;64369;22
24400;64475;26
24500;65028;26
24600;65198;28
24700;65278;26
24800;67826;24
24900;65862;24
25000;66908;24
25100;66547;28
25200;66626;28
25300;66954;26
25400;67973;28
25500;67405;26
25600;67700;30
25700;68095;28
25800;68319;28
25900;68570;52
26000;69522;26
26100;68927;28
26200;70113;28
26300;71085;26
26400;71466;38
26500;70933;26
26600;71145;26
26700;70666;28
26800;70937;26
26900;71075;28
27000;71579;30
27100;72518;24
27200;71955;26
27300;72142;24
27400;72464;28
27500;72846;28
27600;72994;50
27700;73261;26
27800;73561;22
27900;74570;26
28000;74040;28
28100;74860;26
28200;74712;28
28300;75736;24
28400;75155;24
28500;76308;28
28600;76376;26
28700;76677;28
28800;76873;22
28900;77240;24
29000;76486;26
29100;77310;26
29200;76763;26
29300;77072;24
29400;78144;28
29500;78687;28
29600;79693;28
29700;78430;30
29800;78573;24
29900;79014;28
30000;79257;26
30100;79569;30
30200;79894;26
30300;80174;28
30400;83513;28
30500;82473;28
30600;82478;30
30700;81244;28
30800;81497;28
30900;81606;24
31000;81850;28
31100;83385;24
31200;82473;26
31300;91805;30
31400;83004;26
31500;83338;30
31600;83516;26
31700;85324;28
31800;84021;30
31900;84251;50
32000;84604;30
32100;84886;26
32200;85091;28
32300;87603;26
32400;86599;28
32500;85921;28
32600;87378;30
32700;86993;28
32800;86703;24
32900;86923;28
33000;87180;28
33100;88096;28
33200;87649;20
33300;87918;26
33400;88946;28
33500;88431;28
33600;90209;24
33700;89706;26
33800;89321;26
33900;89405;26
34000;89908;24
34100;91872;26
34200;90367;26
34300;90369;28
34400;90758;28
34500;92638;24
34600;91313;24
34700;91662;26
34800;91886;28
34900;96631;28
35000;92368;28
35100;93416;26
35200;93708;26
35300;93167;28
35400;94205;30
35500;93636;26
35600;94129;26
35700;94278;26
35800;94710;26
35900;94913;22
36000;95080;24
36100;97158;28
36200;96398;22
36300;95863;28
36400;96022;24
36500;97183;26
36600;96643;28
36700;97824;30
36800;97241;30
36900;97431;28
37000;101259;28
37100;103043;30
37200;98211;28
37300;98535;26
37400;98726;30
37500;99985;26
37600;99323;24
37700;99457;26
37800;101349;26
37900;100005;26
38000;100219;22
38100;100598;28
38200;100829;24
38300;101235;28
38400;101382;28
38500;101713;26
38600;101913;28
38700;102138;28
38800;103080;30
38900;104026;28
39000;102858;32
39100;103074;24
39200;104083;30
39300;105642;28
39400;104043;28
39500;110533;28
39600;105210;24
39700;105741;28
39800;104961;26
39900;106232;28
40000;105374;30
40100;106609;30
40200;108108;28
40300;106236;28
40400;107188;26
40500;107427;26
40600;107463;28
40700;107325;24
40800;107360;28
40900;108755;26
41000;108156;28
41100;109167;28
41200;109469;24
41300;109980;24
41400;110046;24
41500;109509;28
41600;109884;28
41700;111351;24
41800;110253;30
41900;110446;28
42000;111359;30
42100;111484;24
42200;112177;24
42300;111484;30
42400;111854;26
42500;113530;28
42600;113087;28
42700;113236;22
42800;112759;26
42900;113804;28
43000;114132;30
43100;114306;24
43200;114633;20
43300;114282;32
43400;115221;24
43500;115293;24
43600;115086;24
43700;116636;24
43800;115435;24
43900;115864;26
44000;117478;28
44100;116331;28
44200;116407;24
44300;117356;22
44400;116798;26
44500;118039;28
44600;117594;52
44700;118418;24
44800;121611;38
44900;119504;22
45000;119211;26
45100;119873;28
45200;120751;30
45300;121090;30
45400;121989;26
45500;119733;24
45600;121088;38
45700;120164;24
45800;120837;28
45900;121273;30
46000;121782;28
46100;121339;26
46200;122096;30
46300;122559;30
46400;122209;26
46500;122455;26
46600;124125;28
46700;123530;26
46800;123127;24
46900;123435;26
47000;124311;28
47100;123892;28
47200;124025;26
47300;124472;28
47400;126105;28
47500;125073;26
47600;125002;26
47700;130101;30
47800;127607;28
47900;134660;32
48000;126253;26
48100;130001;32
48200;127541;28
48300;127763;22
48400;127210;26
48500;127408;30
48600;127767;28
48700;127992;26
48800;129597;24
48900;128667;26
49000;128921;26
49100;128835;30
49200;129559;30
49300;129689;26
49400;114651;26
49500;115542;30
49600;99556;26
49700;100067;30
49800;101257;28
49900;100373;24
