n;Lista wiązana;Tablica dynamiczna
1;38.73;38.13
2;29.03;42.03
3;45.13;32.77
4;130.97;60.43
5;27.03;32.73
6;28.1;34.1
7;30.67;40.37
8;27.0;77.87
9;27.43;37.77
10;28.7;39.7
11;28.4;41.1
12;28.73;41.77
13;27.37;45.1
14;28.33;46.8
15;37.8;49.47
16;28.37;76.67
17;36.37;52.4
18;51.1;51.6
19;52.73;52.37
20;29.37;54.4
21;29.07;56.1
22;27.4;58.03
23;28.1;58.8
24;28.37;60.8
25;28.33;62.1
26;32.03;63.17
27;28.67;63.7
28;31.4;65.47
29;28.7;68.7
30;27.67;69.77
31;27.67;74.87
32;27.4;108.47
33;28.4;72.53
34;28.03;75.5
35;28.33;76.23
36;27.37;78.47
37;28.0;78.73
38;27.8;81.73
39;28.43;82.8
40;28.37;84.07
41;28.4;88.5
42;27.77;89.1
43;28.37;89.87
44;27.33;91.93
45;28.87;95.17
46;28.37;95.9
47;29.67;97.3
48;28.1;99.5
49;29.03;99.87
50;28.7;101.33
51;29.03;104.1
52;27.77;105.13
53;29.33;106.33
54;29.07;108.07
55;28.37;111.17
56;28.37;111.6
57;28.43;113.47
58;28.67;112.57
59;28.37;116.47
60;27.77;117.57
61;29.4;118.9
62;27.73;121.2
63;33.03;122.97
64;28.13;568.07
65;28.4;122.83
66;29.7;122.53
67;28.33;125.4
68;29.7;128.87
69;28.0;130.3
70;29.4;130.57
71;28.7;132.6
72;27.33;133.87
73;26.37;134.57
74;26.7;137.37
75;28.07;136.93
76;28.7;139.9
77;28.77;141.53
78;27.33;142.07
79;28.43;145.27
80;27.0;146.23
81;27.7;146.87
82;28.07;148.67
83;28.03;150.33
84;29.1;151.27
85;29.33;151.57
86;28.73;155.9
87;27.7;156.67
88;27.03;159.63
89;28.33;157.03
90;27.73;160.93
91;27.7;163.67
92;28.7;165.67
93;28.07;167.0
94;27.4;168.3
95;27.33;167.23
96;27.07;170.6
97;28.33;170.8
98;26.03;175.43
99;28.5;177.57
100;26.7;176.23
101;28.37;179.23
102;28.37;179.8
103;27.73;180.77
104;28.0;182.0
105;27.4;184.6
106;29.03;185.87
107;27.37;185.67
108;29.03;189.17
109;28.8;190.5
110;29.1;191.67
111;28.67;191.93
112;28.07;192.9
113;28.37;194.03
114;29.0;198.13
115;27.1;197.1
116;27.67;200.43
117;27.03;201.63
118;27.67;205.3
119;28.73;204.97
120;27.33;206.73
121;29.37;207.17
122;29.03;209.33
123;27.7;209.37
124;28.0;212.43
125;27.73;213.7
126;27.0;215.07
127;34.1;216.8
128;27.73;1034.93
129;29.8;219.3
130;27.4;220.67
131;27.7;223.47
132;27.7;223.13
133;26.67;226.17
134;27.07;226.07
135;29.03;228.4
136;26.7;229.77
137;27.43;231.0
138;28.4;233.4
139;28.37;232.77
140;27.73;235.43
141;28.1;237.13
142;27.7;239.17
143;28.7;240.43
144;28.43;243.1
145;28.03;242.77
146;27.73;244.1
147;28.37;247.5
148;27.7;248.43
149;27.43;248.13
150;28.7;253.17
151;27.03;254.17
152;28.33;255.8
153;28.1;257.13
154;28.77;258.47
155;27.4;259.5
156;29.7;261.53
157;28.37;263.57
158;28.67;264.17
159;29.03;266.27
160;28.03;371.07
161;29.03;269.63
162;28.7;269.97
163;29.03;270.6
164;28.33;271.97
165;28.67;274.0
166;28.0;275.33
167;27.7;276.37
168;28.37;277.7
169;28.33;279.37
170;26.67;280.67
171;29.03;283.3
172;29.4;284.97
173;28.7;286.27
174;28.07;287.3
175;28.33;290.63
176;27.73;291.6
177;28.67;293.93
178;28.0;296.57
179;28.07;297.83
180;27.37;298.5
181;29.67;300.17
182;28.73;302.83
183;28.73;302.47
184;28.07;304.83
185;27.7;304.9
186;28.07;306.23
187;27.13;305.53
188;27.43;307.93
189;28.37;309.9
190;28.67;310.0
191;28.0;313.27
192;28.1;315.3
193;29.03;313.93
194;27.4;317.6
195;28.37;319.63
196;31.07;322.27
197;28.17;323.3
198;28.7;323.37
199;26.7;325.33
200;27.7;325.67
201;28.67;330.3
202;29.03;332.9
203;28.37;333.63
204;27.73;335.33
205;29.03;336.57
206;28.37;339.3
207;28.43;340.57
208;28.03;340.03
209;28.7;342.33
210;26.73;343.7
211;27.73;345.03
212;27.43;344.4
213;29.07;346.67
214;28.0;345.63
215;28.77;347.6
216;28.03;349.27
217;28.77;351.73
218;28.67;352.03
219;28.73;353.3
220;29.03;355.73
221;28.0;357.0
222;27.1;357.97
223;28.73;361.37
224;26.03;361.07
225;28.4;363.03
226;28.07;365.7
227;28.03;367.63
228;27.73;367.07
229;27.67;369.73
230;29.33;369.7
231;29.37;374.0
232;27.37;377.07
233;29.47;378.93
234;27.33;379.1
235;27.7;380.07
236;27.7;383.4
237;27.43;383.43
238;28.73;386.0
239;28.77;386.4
240;27.67;388.83
241;27.7;387.07
242;28.7;390.63
243;27.67;389.73
244;29.43;392.37
245;28.03;397.47
246;29.37;568.37
247;29.43;399.3
248;28.67;401.9
249;27.7;399.87
250;28.37;400.07
251;28.77;401.37
252;28.03;403.2
253;27.43;404.73
254;27.33;405.83
255;38.47;408.4
256;28.43;2001.03
257;28.37;409.7
258;27.37;410.37
259;29.17;417.17
260;27.73;419.17
261;28.4;419.8
262;28.4;421.8
263;28.0;421.83
264;27.43;423.43
265;28.37;425.8
266;28.67;428.4
267;29.37;429.23
268;28.77;428.43
269;28.77;429.03
270;27.43;429.13
271;27.67;430.47
272;28.33;432.3
273;28.73;434.4
274;28.13;436.53
275;29.37;437.53
276;28.17;438.0
277;27.37;439.13
278;28.07;441.5
279;29.73;442.83
280;27.8;444.47
281;28.07;445.83
282;28.07;446.5
283;28.67;448.5
284;28.7;450.17
285;27.77;451.87
286;27.73;452.47
287;29.4;455.9
288;26.4;455.53
289;27.07;458.13
290;29.4;458.57
291;28.67;461.5
292;27.73;461.8
293;29.0;464.6
294;28.43;464.5
295;28.73;465.8
296;28.7;468.23
297;29.03;469.87
298;26.67;469.93
299;27.7;473.17
300;27.7;474.3
301;28.03;474.63
302;27.43;477.87
303;29.03;478.93
304;28.07;478.87
305;29.07;480.83
306;29.37;483.6
307;29.7;487.63
308;29.07;489.93
309;28.07;490.87
310;27.07;492.63
311;28.67;493.93
312;28.4;496.3
313;28.7;498.57
314;28.73;499.83
315;28.07;499.27
316;29.07;498.63
317;29.0;499.97
318;27.03;499.6
319;28.7;501.6
320;27.73;503.67
321;28.07;504.87
322;28.37;506.0
323;28.1;506.27
324;30.33;509.33
325;28.43;510.67
326;27.67;512.3
327;28.0;513.97
328;28.0;518.63
329;27.73;519.63
330;29.03;519.0
331;28.43;521.67
332;28.77;522.3
333;28.73;524.0
334;29.07;526.33
335;29.7;526.67
336;28.5;529.67
337;29.7;529.63
338;27.8;531.33
339;27.0;532.33
340;29.07;534.33
341;28.4;535.33
342;27.43;536.7
343;28.33;539.0
344;28.83;540.67
345;27.33;542.67
346;27.83;542.67
347;27.7;544.0
348;28.83;544.4
349;28.4;546.67
350;29.1;549.47
351;28.07;551.1
352;29.37;551.7
353;28.43;553.07
354;28.0;555.1
355;27.73;555.03
356;28.0;557.37
357;28.33;558.43
358;28.33;561.33
359;28.77;562.77
360;28.4;562.0
361;28.77;564.67
362;28.47;566.4
363;28.77;567.5
364;27.07;570.47
365;29.33;571.13
366;28.4;572.43
367;27.7;575.03
368;28.43;574.73
369;26.7;577.37
370;28.13;579.87
371;29.07;581.4
372;29.0;581.83
373;29.13;584.13
374;27.7;583.73
375;29.0;586.57
376;27.37;588.03
377;29.4;588.1
378;27.73;590.03
379;28.0;592.03
380;28.4;594.3
381;28.7;593.73
382;28.1;596.23
383;28.13;597.37
384;28.07;697.63
385;28.77;601.57
386;28.03;602.43
387;27.37;604.1
388;27.4;605.47
389;29.1;607.13
390;29.7;608.47
391;28.0;610.5
392;27.73;611.8
393;27.77;612.27
394;28.7;614.13
395;29.07;615.73
396;28.7;619.23
397;28.7;618.87
398;30.07;620.07
399;27.33;620.6
400;28.37;623.83
401;27.8;623.73
402;28.0;626.93
403;27.77;627.77
404;28.4;629.83
405;29.0;630.37
406;27.4;631.8
407;27.67;633.1
408;26.33;635.37
409;27.47;636.17
410;28.33;638.53
411;29.07;640.37
412;29.13;641.2
413;27.03;642.17
414;29.37;643.3
415;29.43;645.63
416;28.7;645.73
417;27.03;647.53
418;28.37;648.3
419;29.03;651.47
420;27.0;652.23
421;28.07;751.57
422;29.17;655.93
423;28.07;658.53
424;28.67;658.93
425;28.37;661.23
426;28.0;661.27
427;27.67;662.53
428;28.03;664.23
429;28.43;666.0
430;28.73;668.23
431;28.1;668.93
432;28.7;669.93
433;28.73;671.57
434;27.67;674.0
435;27.37;674.27
436;27.73;676.63
437;28.67;679.27
438;28.07;679.97
439;29.03;680.4
440;28.03;682.2
441;28.37;683.63
442;28.7;686.43
443;26.67;687.8
444;28.43;689.73
445;28.0;690.67
446;28.7;691.93
447;27.03;693.27
448;28.0;694.1
449;28.7;695.43
450;28.1;697.3
451;27.7;699.97
452;30.4;700.6
453;28.03;702.33
454;29.1;702.73
455;27.7;705.4
456;28.1;704.97
457;29.07;708.23
458;28.33;710.33
459;28.0;711.33
460;27.07;711.37
461;28.67;714.43
462;27.73;715.07
463;27.77;717.57
464;28.67;719.0
465;28.03;720.03
466;28.07;721.77
467;29.03;722.43
468;28.03;724.0
469;29.4;725.3
470;28.07;726.33
471;29.13;729.07
472;28.67;732.1
473;28.33;731.77
474;28.4;734.43
475;27.03;735.37
476;27.4;737.67
477;29.37;737.73
478;28.73;739.7
479;27.7;740.93
480;29.37;743.9
481;28.4;743.77
482;27.37;746.23
483;28.4;745.33
484;28.7;748.7
485;28.73;749.33
486;28.33;751.47
487;28.33;753.5
488;28.43;755.2
489;28.4;754.87
490;28.13;757.13
491;28.37;758.4
492;28.37;758.33
493;26.43;760.3
494;27.73;762.23
495;28.8;763.63
496;28.4;767.43
497;28.33;768.2
498;26.67;768.3
499;27.0;770.57
500;27.4;771.47
501;28.07;773.5
502;27.7;773.83
503;28.4;775.87
504;26.37;776.9
505;28.73;779.2
506;28.73;779.87
507;27.73;782.5
508;28.7;783.17
509;27.73;784.83
510;29.4;786.83
511;33.73;789.53
512;27.77;3889.37
513;28.13;791.77
514;27.87;792.07
515;28.1;896.27
516;28.1;795.73
517;28.17;797.4
518;27.77;798.43
519;27.43;800.73
520;28.47;802.43
521;29.1;803.03
522;27.07;805.07
523;28.07;804.7
524;28.73;806.8
525;27.73;809.5
526;27.07;809.9
527;28.77;810.93
528;29.4;814.3
529;28.73;914.83
530;29.07;817.67
531;28.37;818.33
532;27.67;819.33
533;28.33;821.0
534;28.7;824.7
535;29.7;824.6
536;28.7;824.87
537;28.73;827.07
538;27.7;828.37
539;27.33;829.43
540;28.73;832.1
541;26.4;833.43
542;27.53;834.47
543;28.07;836.2
544;29.07;838.23
545;29.37;839.9
546;27.67;840.57
547;27.73;842.97
548;28.47;843.97
549;29.33;845.07
550;28.07;845.7
551;29.33;847.97
552;28.1;849.63
553;29.7;851.33
554;28.4;853.07
555;27.4;854.33
556;28.73;854.87
557;28.33;856.87
558;28.5;858.83
559;29.07;859.2
560;28.87;860.57
561;29.37;862.03
562;27.67;862.43
563;29.7;866.77
564;28.37;966.53
565;29.03;868.7
566;29.13;871.53
567;29.73;872.17
568;29.4;872.53
569;29.43;874.6
570;27.73;877.77
571;28.67;878.5
572;27.7;880.77
573;28.47;974.77
574;28.53;882.23
575;27.8;883.37
576;28.03;885.4
577;28.73;893.37
578;28.7;896.13
579;28.0;897.0
580;30.7;897.27
581;27.4;897.73
582;29.37;898.73
583;29.03;896.77
584;26.7;897.6
585;27.77;898.63
586;28.73;900.33
587;28.7;901.03
588;29.4;902.77
589;28.03;904.73
590;27.77;910.0
591;28.07;912.0
592;27.37;909.43
593;27.7;912.73
594;29.1;910.67
595;28.33;912.73
596;29.4;915.93
597;29.07;916.83
598;27.0;919.4
599;27.37;920.77
600;29.03;922.07
601;29.77;921.93
602;28.33;931.8
603;28.47;933.13
604;28.03;935.2
605;28.1;936.63
606;29.77;938.4
607;29.0;934.8
608;27.7;932.87
609;28.43;933.7
610;29.1;935.73
611;28.73;937.5
612;28.37;941.2
613;28.4;948.07
614;28.4;950.03
615;28.67;950.8
616;28.0;953.53
617;29.1;954.4
618;28.7;947.4
619;29.33;948.5
620;27.33;951.2
621;28.37;951.47
622;28.43;962.1
623;28.37;955.27
624;28.37;957.37
625;28.07;966.13
626;28.67;967.6
627;29.03;970.5
628;29.73;970.77
629;29.03;972.6
630;27.47;968.13
631;29.17;966.1
632;28.0;967.83
633;28.07;971.53
634;29.1;972.43
635;28.4;972.53
636;28.03;974.9
637;28.1;975.1
638;28.8;976.1
639;28.03;979.2
640;27.67;982.2
641;28.73;982.5
642;27.47;982.5
643;27.37;983.87
644;28.4;985.87
645;28.73;987.53
646;28.8;988.47
647;28.03;991.27
648;28.37;992.23
649;29.1;994.17
650;27.77;995.53
651;27.67;996.23
652;29.07;996.87
653;29.47;999.2
654;28.67;1002.93
655;28.0;1002.63
656;28.1;1003.9
657;28.37;1004.53
658;28.03;1007.97
659;27.7;1007.2
660;27.1;1007.9
661;28.77;1008.8
662;26.73;1012.33
663;28.73;1016.93
664;28.4;1023.27
665;29.07;1025.97
666;29.77;1026.9
667;29.03;1028.27
668;29.13;1028.53
669;28.03;1023.67
670;28.1;1024.27
671;28.73;1124.07
672;27.4;1034.33
673;28.7;1042.63
674;27.7;1046.37
675;29.37;1048.27
676;26.67;1051.0
677;28.13;1047.63
678;27.67;1042.6
679;27.37;1037.97
680;27.67;1038.63
681;27.67;1041.67
682;28.43;1049.3
683;28.7;1046.93
684;27.7;1050.3
685;28.47;1058.33
686;26.7;1056.3
687;29.73;1059.37
688;27.73;1059.67
689;27.67;1060.3
690;29.07;1054.3
691;29.03;1059.33
692;29.73;1066.0
693;28.73;1067.67
694;28.4;1069.7
695;28.73;1070.7
696;26.4;1066.7
697;27.7;1065.03
698;27.47;1067.0
699;28.37;1067.67
700;28.77;1068.0
701;28.37;1081.03
702;28.7;1081.4
703;30.1;1082.67
704;29.03;1084.03
705;28.03;1085.37
706;27.7;1077.4
707;28.73;1080.43
708;30.03;1080.37
709;28.67;1086.4
710;29.07;1087.47
711;29.03;1085.03
712;28.33;1104.77
713;29.1;1106.43
714;29.4;1108.53
715;28.73;1109.43
716;28.4;1110.83
717;28.7;1095.8
718;27.67;1096.5
719;28.37;1098.07
720;29.0;1098.7
721;28.37;1100.8
722;29.4;1101.03
723;29.37;1107.7
724;27.7;1108.73
725;29.73;1106.03
726;27.7;1106.77
727;27.77;1109.1
728;27.37;1109.77
729;28.7;1112.13
730;30.03;1113.07
731;28.43;1114.03
732;27.7;1116.8
733;29.1;1117.4
734;29.1;1120.03
735;28.03;1122.17
736;29.07;1124.13
737;27.33;1124.8
738;27.73;1126.43
739;27.4;1127.43
740;28.73;1127.8
741;27.37;1128.83
742;29.03;1130.43
743;29.4;1131.87
744;28.67;1135.47
745;28.03;1136.47
746;28.47;1137.8
747;29.07;1139.1
748;29.43;1139.5
749;28.37;1141.77
750;28.7;1144.83
751;28.0;1145.23
752;28.37;1146.13
753;28.37;1148.57
754;28.8;1147.97
755;28.33;1150.13
756;28.0;1153.33
757;29.07;1154.6
758;27.33;1155.47
759;27.03;1155.57
760;29.4;1158.93
761;29.0;1159.43
762;28.8;1160.17
763;28.17;1261.37
764;28.73;1163.73
765;28.37;1165.47
766;28.07;1168.2
767;27.37;1167.47
768;28.7;1170.8
769;28.73;1171.67
770;28.03;1172.9
771;28.37;1174.2
772;28.4;1176.23
773;28.13;1175.87
774;28.03;1178.57
775;27.77;1180.2
776;28.03;1182.63
777;27.7;1184.57
778;28.7;1183.9
779;28.67;1186.27
780;28.0;1188.57
781;28.07;1190.0
782;28.07;1191.87
783;28.37;1192.27
784;27.67;1193.57
785;28.37;1195.63
786;28.73;1195.53
787;28.0;1198.53
788;26.67;1198.97
789;31.8;1301.4
790;26.43;1212.27
791;29.33;1215.9
792;27.7;1214.97
793;28.73;1218.0
794;27.4;1211.6
795;28.73;1211.57
796;28.67;1213.73
797;27.77;1214.33
798;27.73;1221.3
799;29.1;1226.23
800;27.67;1229.0
801;27.37;1229.1
802;28.07;1230.67
803;31.67;1222.97
804;27.4;1223.97
805;27.33;1226.1
806;28.7;1235.07
807;27.4;1227.93
808;28.43;1236.1
809;28.37;1241.77
810;28.73;1242.77
811;28.67;1243.67
812;27.7;1246.57
813;26.7;1236.7
814;28.03;1238.5
815;28.47;1239.8
816;26.7;1240.27
817;29.37;1243.27
818;28.73;1244.23
819;28.1;1245.7
820;28.1;1247.87
821;27.73;1249.37
822;28.47;1249.5
823;28.03;1251.33
824;27.37;1252.67
825;27.73;1255.33
826;28.0;1255.9
827;27.73;1257.8
828;28.07;1259.37
829;29.7;1259.93
830;28.33;1263.67
831;30.33;1263.43
832;29.07;1265.77
833;29.77;1266.1
834;28.1;1267.13
835;30.7;1269.73
836;31.0;1272.03
837;31.7;1273.0
838;28.07;1272.9
839;31.7;1275.7
840;31.0;1277.13
841;29.37;1279.8
842;26.73;1279.73
843;27.0;1282.47
844;28.4;1282.77
845;28.1;1285.07
846;28.73;1286.4
847;29.03;1286.77
848;26.03;1290.13
849;27.7;1290.03
850;30.4;1292.37
851;30.13;1292.73
852;28.43;1295.0
853;29.37;1307.4
854;28.0;1308.77
855;29.37;1310.77
856;28.7;1311.8
857;28.0;1304.4
858;28.67;1303.43
859;29.03;1305.37
860;28.8;1309.07
861;29.03;1309.73
862;28.0;1309.17
863;27.67;1321.87
864;28.07;1312.57
865;28.1;1314.57
866;27.7;1316.23
867;27.7;1316.6
868;27.73;1418.87
869;27.4;1322.07
870;27.37;1322.73
871;30.03;1324.37
872;28.07;1326.63
873;28.37;1417.83
874;27.07;1328.63
875;28.03;1329.93
876;28.37;1331.27
877;27.7;1332.27
878;27.7;1333.57
879;27.37;1334.93
880;28.33;1335.6
881;27.73;1338.6
882;27.03;1340.23
883;27.03;1341.23
884;27.67;1432.33
885;27.37;1344.43
886;27.37;1346.07
887;28.37;1347.67
888;28.37;1348.7
889;29.47;1350.7
890;26.17;1351.03
891;29.43;1353.07
892;28.7;1355.2
893;27.4;1356.57
894;28.43;1357.27
895;27.73;1358.27
896;28.0;1360.37
897;27.4;1362.77
898;28.37;1363.33
899;27.73;1367.3
900;28.67;1366.3
901;27.67;1368.23
902;28.0;1369.87
903;27.4;1372.13
904;27.77;1372.87
905;28.73;1375.0
906;28.07;1375.43
907;27.7;1378.07
908;27.03;1377.77
909;31.67;1379.4
910;27.43;1381.53
911;28.4;1382.2
912;26.7;1383.37
913;28.73;1385.53
914;28.83;1387.5
915;27.33;1388.67
916;29.0;1389.03
917;27.37;1391.37
918;27.43;1393.37
919;29.03;1394.8
920;28.4;1397.3
921;27.7;1396.23
922;28.33;1399.23
923;28.33;1400.0
924;26.03;1403.2
925;26.67;1515.1
926;28.73;1417.03
927;29.67;1418.17
928;28.33;1417.07
929;27.67;1409.4
930;29.03;1411.0
931;28.77;1412.2
932;27.37;1420.93
933;28.73;1429.77
934;29.0;1429.8
935;28.73;1432.47
936;28.7;1424.7
937;28.43;1420.9
938;28.03;1424.67
939;29.03;1434.33
940;28.67;1426.83
941;28.07;1438.17
942;29.37;1443.7
943;28.7;1443.67
944;28.03;1444.57
945;27.07;1435.07
946;27.37;1435.1
947;26.7;1440.4
948;28.07;1439.07
949;28.73;1439.67
950;28.37;1440.43
951;28.33;1443.77
952;27.73;1448.03
953;28.8;1457.67
954;29.03;1460.1
955;27.73;1462.8
956;27.73;1456.77
957;28.07;1452.4
958;28.07;1454.43
959;29.4;1465.1
960;28.7;1456.83
961;27.1;1459.4
962;28.1;1466.77
963;28.7;1463.13
964;31.1;1471.03
965;29.07;1476.43
966;28.67;1480.13
967;29.77;1480.47
968;27.7;1480.77
969;27.7;1483.8
970;28.67;1485.87
971;28.37;1484.13
972;27.67;1476.87
973;27.73;1566.27
974;28.0;1478.9
975;29.03;1491.5
976;28.47;1494.83
977;29.33;1496.23
978;29.7;1496.9
979;28.67;1581.47
980;28.7;1487.97
981;29.1;1491.73
982;29.03;1495.17
983;29.1;1495.8
984;29.37;1506.2
985;29.07;1506.47
986;28.43;1508.47
987;28.37;1502.27
988;27.43;1499.33
989;29.0;1500.27
990;29.07;1598.7
991;28.7;1503.07
992;29.67;1505.33
993;29.1;1506.47
994;29.77;1507.8
995;29.0;1509.97
996;29.4;1512.03
997;29.0;1608.33
998;29.7;1514.6
999;28.37;1515.53
1000;29.33;1516.3
1001;28.37;1518.87
1002;30.03;1523.53
1003;29.07;1527.57
1004;28.43;1631.07
1005;29.37;1525.57
1006;28.7;1525.93
1007;29.03;1526.83
1008;28.37;1529.63
1009;29.4;1627.73
1010;28.07;1531.93
1011;29.37;1534.93
1012;27.77;1534.23
1013;29.33;1536.23
1014;28.87;1537.6
1015;28.37;1538.9
1016;27.67;1541.6
1017;29.0;1542.9
1018;28.37;1543.27
1019;28.43;1543.93
1020;27.1;1546.93
1021;29.13;1548.97
1022;30.67;1549.63
1023;35.33;1562.93
1024;27.37;7642.33
1025;28.37;1554.57
1026;27.7;1555.63
1027;28.43;1557.67
1028;28.37;1559.6
1029;28.7;1657.17
1030;28.07;1562.6
1031;27.73;1563.3
1032;29.33;1565.27
1033;29.33;1565.67
1034;27.73;1568.33
1035;28.73;1667.5
1036;26.73;1573.97
1037;28.77;1585.0
1038;29.03;1587.37
1039;29.43;1588.37
1040;27.7;1581.7
1041;27.73;1579.3
1042;27.7;1581.0
1043;27.7;1583.0
1044;28.0;1582.33
