n;Lista wiązana;Tablica dynamiczna
100;30;176
200;28;325
300;28;473
400;26;625
500;28;772
600;28;920
700;30;1066
800;28;1221
900;28;1371
1000;28;1518
1100;28;1662
1200;28;1815
1300;28;1961
1400;26;2111
1500;40;2268
1600;28;2406
1700;26;2557
1800;28;2709
1900;30;2851
2000;24;3008
2100;28;3152
2200;30;3298
2300;28;3453
2400;28;3597
2500;28;3748
2600;26;3898
2700;26;4041
2800;28;4193
2900;26;4339
3000;28;4494
3100;30;4654
3200;30;4831
3300;28;4939
3400;30;5703
3500;26;5244
3600;30;5386
3700;28;5535
3800;24;5685
3900;28;5832
4000;26;5978
4100;24;6130
4200;30;6279
4300;26;7028
4400;24;6571
4500;30;6728
4600;26;6874
4700;22;7023
4800;28;7173
4900;24;7323
5000;30;7470
5100;28;7629
5200;26;7777
5300;34;7917
5400;30;8084
5500;24;8220
5600;24;8371
5700;30;8533
5800;26;8679
5900;26;8827
6000;70;9020
6100;30;9153
6200;32;9261
6300;28;9409
6400;28;9560
6500;26;10320
6600;22;9852
6700;28;9999
6800;26;10145
6900;26;10308
7000;30;10456
7100;24;10601
7200;30;10745
7300;26;10906
7400;26;11046
7500;22;11200
7600;26;11345
7700;24;11503
7800;28;11645
7900;30;11801
8000;24;11944
8100;28;12093
8200;30;12859
8300;30;12397
8400;30;12552
8500;28;12700
8600;24;12851
8700;30;12987
8800;28;13143
8900;26;13290
9000;24;13440
9100;28;13595
9200;30;13755
9300;28;13895
9400;26;15305
9500;26;14202
9600;24;15028
9700;26;14640
9800;28;14650
9900;28;14814
10000;28;14962
10100;26;15103
10200;26;15255
10300;26;15396
10400;30;15556
10500;26;15694
10600;28;15859
10700;30;16009
10800;28;16150
10900;24;16300
11000;30;16466
11100;28;16607
11200;32;16749
11300;30;16904
11400;26;17062
11500;26;17200
11600;28;17373
11700;26;17505
11800;30;17672
11900;34;17802
12000;34;17963
12100;36;18257
12200;30;18257
12300;42;18392
12400;32;18552
12500;28;18703
12600;28;18851
12700;30;18993
12800;30;19158
12900;30;19302
13000;32;19463
13100;34;20291
13200;30;19753
13300;32;19926
13400;30;20070
13500;44;20219
13600;120;20935
13700;30;20510
13800;34;21352
13900;30;20833
14000;114;21168
14100;36;21115
14200;28;21258
14300;28;21400
14400;30;21542
14500;32;21697
14600;32;21859
14700;30;22004
14800;26;22146
14900;30;22311
15000;30;22453
15100;42;22625
15200;30;22760
15300;30;22909
15400;30;23059
15500;36;23209
15600;34;23354
15700;28;23502
15800;30;23666
15900;30;23819
16000;36;23957
16100;34;24114
16200;28;24268
16300;34;24424
16400;34;24545
16500;38;24713
16600;38;24854
16700;32;25012
16800;30;25155
16900;34;25315
17000;32;25453
17100;100;26325
17200;36;26544
17300;30;25899
17400;32;26526
17500;32;26202
17600;32;26362
17700;34;26492
17800;38;26650
17900;34;27545
18000;30;26953
18100;30;27110
18200;38;27260
18300;32;27413
18400;32;27563
18500;36;27740
18600;30;28568
18700;28;28008
18800;30;28975
18900;30;29071
19000;30;29910
19100;32;29360
19200;30;28785
19300;30;29639
19400;36;29831
19500;30;29915
19600;34;30126
19700;34;29507
19800;30;29657
19900;90;30002
20000;32;29955
20100;30;30113
20200;32;30258
20300;32;30411
20400;34;30562
20500;34;30716
20600;30;30867
20700;32;31755
20800;34;31161
20900;30;31316
21000;28;32160
21100;26;31603
21200;28;31757
21300;32;32657
21400;30;32070
21500;30;32220
21600;30;32372
21700;34;33956
21800;30;32653
21900;32;32814
22000;60;33383
22100;66;33281
22200;164;33774
22300;100;34031
22400;86;33790
22500;88;34161
22600;150;34360
22700;70;34188
22800;32;34272
22900;28;34342
23000;30;35967
23100;36;35158
23200;30;34801
23300;30;34937
23400;68;35266
23500;34;35243
23600;84;35522
23700;30;35532
23800;34;35692
23900;30;36550
24000;28;35971
24100;30;36182
24200;28;36302
24300;34;36440
24400;30;36572
24500;30;36751
24600;32;37608
24700;28;37052
24800;30;37180
24900;34;37340
25000;30;37479
25100;32;37649
25200;30;37868
25300;34;37924
25400;66;38879
25500;66;40474
25600;30;38387
25700;32;38546
25800;32;38674
25900;30;38823
26000;30;38988
26100;30;39103
26200;34;39280
26300;28;40377
26400;42;39679
26500;30;39745
26600;32;39857
26700;60;40485
26800;30;41197
26900;32;40333
27000;28;40465
27100;36;40636
27200;32;40780
27300;32;40935
27400;36;41087
27500;38;41217
27600;36;41376
27700;38;41525
27800;36;41689
27900;32;41823
28000;62;42004
28100;60;42274
28200;28;43047
28300;28;42438
28400;32;42586
28500;120;42843
28600;30;42877
28700;30;43009
28800;30;43196
28900;30;43348
29000;30;44194
29100;28;43633
29200;34;43773
29300;26;43940
29400;30;44094
29500;32;44251
29600;32;44403
29700;28;45288
29800;34;44688
29900;30;44870
30000;36;45691
30100;28;45175
30200;42;45290
30300;30;45458
30400;32;45610
30500;72;47413
30600;62;47361
30700;62;46343
30800;32;46218
30900;26;46445
31000;62;47358
31100;30;47941
31200;32;46812
31300;30;46953
31400;32;47107
31500;32;47286
31600;112;47693
31700;28;47633
31800;34;47795
31900;26;48627
32000;34;48752
32100;32;49144
32200;28;48421
32300;30;49189
32400;66;49524
32500;28;48857
32600;28;49255
32700;76;50081
32800;36;49197
32900;30;50236
33000;70;49600
33100;118;50172
33200;62;50154
33300;62;50122
33400;66;50314
33500;62;51023
33600;30;50485
33700;34;50599
33800;32;51405
33900;90;51743
34000;32;50967
34100;32;51133
34200;28;51270
34300;34;51428
34400;30;51582
